Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:07,"Jer jedini način za upoznat Boga, svemir i sve o čemu ja ovdje pričam i pišem u knjizi je kroz sebe, svi odgovori su u nama."
0:00:07,0:00:14,"Samo moraš prestati udovoljavati, samo moraš naučiti pustiti kontrolu, samo moraš naučiti prestati biti sebičan, samo moraš naučiti ostvariti balans."
0:00:15,0:00:20,"Ovaj segment donosi ti zonar Zagreb, tvoj urbani dom daleko od doma."
0:00:20,0:00:22,Uživaj u nastavku.
0:00:22,0:00:23,Što je ego po tebi?
0:00:24,0:00:25,"Neiskusto, neznanje."
0:00:26,0:00:27,"Neiskusto, neznanje."
0:00:27,0:00:28,Koje vrste ega postoje?
0:00:29,0:00:35,"Pa mislim ako govorimo o vrstama ega ne postoji vrste neznanja, neznanje, neznanje, neiskusto."
0:00:35,0:00:50,"I onda jednostavno na to neiskusto reagiramo na dva različita načina, fight or flight program, to su svi čuli i pola nas ode u taj fight pa onda postanemo malo oholi, nadmeni, malo agresivni, malo dociramo."
0:00:52,0:00:59,"Druga polovica nas ode u pasivu pa malo se uzmičemo, pa malo udovoljavamo i jednostavno svako od nas traži balans."
0:01:00,0:01:02,Ego je ono što nas drži van toga balansa.
0:01:03,0:01:19,"Ja kad pričamo o tome na iskustvu ljudi uvijek se malo zbune zašto jer svi kažu da su čuli da je to lažni identitet i to je istina, ali ja sam se dugi niz godina pitao zašto je lažni identitet, zašto imamo potrebu uopće stvoriti taj identitet to je sve nesvjesno, čuli smo."
0:01:20,0:01:22,"O čemu se radi, ja uvijek volim praktične primjere."
0:01:22,0:01:35,"Pa recimo ako nemamo iskustvo samoće, pola od nas će partneru se nametat iz straha da ga ne napusti, će ga pokušati kontrolirati, ti ne smiješ ići van, jel tako?"
0:01:35,0:01:41,"A druga polovica nas će pokušati udovoljavati i reći, ja neću ići van ljubavi samo da me ne ostavi, jel tako?"
0:01:42,0:01:46,"E kad jedan dan steknemo iskustvo samoće, na koji način?"
0:01:46,0:01:51,"Tako da proučavamo tu istu samoću, ja sam je proučavao jer sam hodokofores game par godina."
0:01:52,0:01:57,I kad sam upoznao samoću onda mi je samoća kao i svako iskustvo postala nevažna.
0:01:57,0:01:59,"Mogu biti sam, a i ne trebam biti sam."
0:02:00,0:02:14,"E sad tako uzmite promjene, uzmite samoću, uzmite dokazivanje, uzmite poštovanje, uzmite sve što nam pada na pamet, sve što nam je važno nam je važno s razlogom, samo zato jer nemamo to iskustvo."
0:02:16,0:02:18,Znači ego je nedostatak iskustva.
0:02:19,0:02:20,"Bravo, naše neznanje."
0:02:20,0:02:24,"U drugim riječima, ajde recimo kad u matematici ne znate limese, to je vaše ego."
0:02:25,0:02:26,Zašto?
0:02:26,0:02:36,"I onda vam limesi vam stvaraju otpor i ne da vam se proučavate limese i nepoznaticom i čudnicom i uvijek reagirate oko tih limesa, tako da sve ono što ne znamo to je naše ego."
0:02:38,0:02:41,"Nigdje to nisam uspio pročitati, pa evo vjerujem da će me tu netko challengirati."
0:02:45,0:02:47,Ljubav je unutarnja snaga.
0:02:48,0:02:50,Ljubav je unutarnja snaga i skill zapravo.
0:02:51,0:03:13,"Mi kad govorimo o ljubavi devedeset devet posto vještina snaga ljubav je ono što nam je potrebno kad kažemo ne mogu pustiti znate kad kažete ne mogu pustiti pred teškom je imate snažnu emocionalnu reakciju e ona snaga koja je potrebna da naučimo puštat to je ljubav kad kažete ne mogu neodlučan sam, ovo mi je preteško."
0:03:13,0:03:16,"Evo, ljubav je ona snaga koja je potrebna da ponekad stisnemo."
0:03:16,0:03:18,"Šta, da uvijek nađemo balans."
0:03:19,0:03:22,"Ljubav nije samo to, ljubav je toliko puno stvari."
0:03:22,0:03:23,Ljubav je stvaranje.
0:03:23,0:03:27,"Ti stvaraš podcast, ja sam stvarao knjigu, mi stvaramo obitelj."
0:03:28,0:03:33,"Jako puno psiholoških problema kad govorimo i patnje proizlazi, znate od čega?"
0:03:33,0:03:38,Jer su ljudi konstantno opsjednuti sa sobom i šta vole i ne vole i hoće i neće.
0:03:39,0:03:50,"Zamislite kad ste konstantno sebi u glavi, a jedan dan kad se posvetiš nečemu osim sebe, ti onda cijelu svoju pažnju usmjeriš na to što stvaraš i ti se onda podrediš nečemu."
0:03:51,0:03:52,To je ljubav.
0:03:52,0:03:59,"Ljubav je isto tako i dijeljenje i davanje, ali sve zajedno zahtjeva jako puno unutarnje snage i jako puno vještina."
0:04:00,0:04:00,To je ljubav.
0:04:01,0:04:04,I nema nikakve veze sa odnosima.
0:04:04,0:04:13,"To je nešto što jako često moram napomenuti jer je uobičajena miskoncepcija da je ljubav, ja i žena se volimo, ja i moje dijete se volimo."
0:04:14,0:04:16,"Nema ljubavi, pitanja već primamo ili?"
0:04:18,0:04:19,Bit će malo kasnije samo.
0:04:20,0:04:21,Ali pamtimo te.
