Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:17,Pozdravljam vas u 55 minuta kod Željke Markić.
0:00:17,0:00:21,Hvala vam što pratite moj objavljenom YouTube kanalu.
0:00:21,0:00:33,"Moj današnji gost je mladi svećenik, Isusovac, kapelan župe bezgrišnog srca Marina u Zagrebu, Pater Mislav Skelin."
0:00:33,0:00:36,Mislav je puno ti hv hvala da si našao vremena za ovaj naš razgovor.
0:00:37,0:01:09,"Hvala na pozivu i samo jedna stvar za razmišljanje, mladi, dakle isovac četrdeset tri godine imam pa neka svatko procijeni koliko sam mlad a to sam mislila dok sam izgovarala da ćeš mi prigovoriti dobro ja okej ja sam to mislio nisam prigovorio neka svatko procijeni jel četrdeset tri godine mlade ili pa gledaj po medijima ako je zagrebački gradonačelnik mlad onda si i ti mlad on je par godina mlađi od tebe evo tako je pratimo medije hrvatske evo mislava je jako mi je da drago da imamo priliku porazgovarati."
0:01:09,0:01:24,"Mi se poznajemo dosta dugo vremena preko tvojeg brata i obitelji, ali nekako baš sam dugo vremena željela s tobom napraviti razgovor da ispričamo malo tu tvoju životnu priču."
0:01:24,0:01:30,Ti si dečko tu sa Bukovca ili sa Bugovačke u stvari iz Zagreba.
0:01:32,0:01:34,Kako je išao taj tvoj put sa tvojim zvanjem?
0:01:35,0:01:40,"Kako si ti prepoznao da je svećenički poziv ono što ti želiš, što je tvojvoj poziv?"
0:01:41,0:01:47,"Bio je istovremeno paradoksalno pravocrtan i nepravocrtan, ne znam kako bi to rekao."
0:01:48,0:02:04,"U tom trenutku kada ti se stvari događaju u životu ne znaš da ti se događaju odnosno nije uvijek lako u tom trenutku kad ti se nešto događa naći značenje nečega što ti se događa, poslije to možeš malo lakše učiniti."
0:02:05,0:02:06,Kako je sad išao put?
0:02:07,0:02:18,"Ono što je zanimljivost, često se ljudi pitaju kako se to događa, to čuveno zvanje svećeničko ili možda i nekakvo drugo."
0:02:19,0:02:25,I onda obično se govori o zvanju kao nečemu što se rađa već od rano gdje djetinstva gdje postoje znakovi i sl.
0:02:26,0:02:28,no to u mom slučaju nije bilo tako.
0:02:30,0:02:43,"Ako se ne varam i ako se dobro sjećam, meni je prvi puta palo na pamet u životu da bih ja mogao biti svećenik, da bi to mogao živjeti, da bi tu našao jedan mir, da bi sve to skupa imalo smisla."
0:02:44,0:02:48,Ja mislim u dvadeset jedan g da sam to predstav prvi puta osjetio.
0:02:48,0:02:59,"Dakle, ja svakako jesam imao veliko poštovanje prema svećeničkom i redovničkom zvanju, kako dolazim iz jedne obitelji koja je bila povezana s vjerom."
0:03:00,0:03:24,"Znao sam što je figura svećenika, što je figura časne sestre, poštovao sam te osobe, ali nikako sebe nisam mogao zamisliti u tom položaju, čak se uopće valjda nisam ni pitao, bi li ja to mogao, nisam tijekom djetinjstva jer je to bio zaista jedan uzvišen i DLP ideal, ja sam uvijek možda nešto razmišljao, nešto malo običnije."
0:03:24,0:03:38,"Dobro, ali kad kažem nisam uopće mogao, dakle ti s jedne strane odrastao si u jednoj obitelji koja ide u crkvu, evo da, jel tako, a s druge strane vidiš svećenika ili domnike, redovnice, ali istovremeno ti ne osjećaš da bi to moglo biti za tebe."
0:03:39,0:03:40,Jel zašto?
0:03:40,0:03:49,"Zašto, gdje je ta linija koja je nešto što, okej, vidiš da je to dobro, pozitivno, ali niti ne pomišljaš o tom da bi to moglo biti za tebe?"
0:03:49,0:04:06,"Pa prva stvar, dakle razmišljaš o nečemu što ti je možda bliže u tom trenutku, odrastaš u obitelji, dok gledaš nekakav samostalan onako na prvi pogled ili nešto kao jedan zaseban svijet gdje se stvarno treba nešto posebno dogoditi da bi netko tamo ušao."
0:04:07,0:04:10,"Možda ja to sebi nisam na taj način objašnjavao u tom trenutku, ovo je sad već."
0:04:11,0:04:20,"Ali, okej, ali pokušavamo približiti taj neki odnos, to me zanima, razumijem, da, ali gleda čovjek unutar svoje obitelji i želiš nešto slično svoje obitelji."
0:04:21,0:04:26,"Tako je, tako je, ali osim toga još su bile razne znači tu stvari."
