Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:32,"Sada, kako da se podijeliš svoje iskustvo, kako sam ja iskustvo zavo kad je štenio u duhu."
0:00:37,0:00:40,Ali po prirodi ja sam jako stidljiv i plah.
0:00:41,0:00:47,I nikad nisam išao na molitvenu skupinu deset godina.
0:00:52,0:00:57,Nakon deset godina tog iskustva u duhu ja sam krenuo od molitvene susrete.
0:01:02,0:01:06,"Ali ja bih čim bi moj teli sustav bio gotov, automatski bih išao doma."
0:01:09,0:01:12,Nikad ne bih ostao za zajedništvo nakon toga.
0:01:16,0:01:18,I sjećam se da u 1993.
0:01:19,0:01:23,godine Bog Gospodin mi je govorio.
0:01:27,0:01:30,I to je bilo preko jednog savjetnika na.
0:01:31,0:01:32,na tom susretu.
0:01:35,0:01:52,"I tada je Bog rekao, imenujem tebe i određujem da ideš i obnoviš glavni grad Indije."
0:01:53,0:02:00,Ja sam radio za parlament Indije i živio sam u New Delhi.
0:02:01,0:02:12,"Sada, bio sam iznenađen kada mi je Gospodnje rekao: Želim da pođeš i obnoviš glavni grad."
0:02:17,0:02:20,Ja nisam imao nikakvog duhovnog iskustva vodstva.
0:02:23,0:02:24,Kako ću ja obnoviti taj grad?
0:02:27,0:02:28,Ali vratio sam se u svoj grad.
0:02:37,0:02:43,"I nakon tri tjedna župnik mi je rekao, budi tu, budi kao koordinator za molitvenu skupinu."
0:02:48,0:02:52,Nakon godinu dana su me učinili voditeljem te molitvene skupine.
0:02:54,0:03:06,"I nakon godinu dana su me učin imenovali koordinatorom, začetkom uda, mislio, u obnovi."
0:03:06,0:03:19,"Tako da, svaki put, kada bi me Bog stavio u ulogu vodstva, ja nisam imao iskustva za to."
0:03:20,0:03:24,I bio nisam opremljen za to.
0:03:30,0:03:42,"I kada sam počeo prebjedati u našoj biskupi u obnovi u duhu, ja sam bio nov u tome svemu, ali sam počeo nešto raditi."
0:03:49,0:04:01,"I razlog zašto, mislim zašto, izrečnik koji je bio zadužen za obnovu u duhu, on je bio glavni."
0:04:03,0:04:12,I rekao je: Imam pritužbe o tebi.
0:04:15,0:04:17,I dao mi je čitav dopis.
0:04:20,0:04:24,I rekao je: Ovdje se nalazi 78 pritužbi o tebi.
0:04:30,0:04:38,"I vjerujem kako nitko od vas ne može se poistovjetiti sa mnom u ovome, u broju pritužbi protiv njega."
0:04:41,0:04:46,I vjerojatno se pitate kako je to da on čovjek preko kojeg se tužilo 78 ljudi priča ovdje.
0:04:48,0:04:53,Ali zamislite samo kako sam se tada osjećao.
0:04:56,0:04:58,Nikad nisam želio biti voditelj.
0:05:00,0:05:01,Gospodin me doveo.
0:05:05,0:05:13,"I šest mjeseci nakon što mi je Bog dao ulogu vodstva, toliko trpljenja je bilo u mom životu."
0:05:16,0:05:17,I vratio sam se doma.
