Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:05,Osjetila sam koliko majkama to puno znači i onda sam se dodatno školovala.
0:00:06,0:00:20,"I taj stisa ruke i zahvalnost majke, kad uspije ono gdje osjeća ni da je nemoguće, ili susret u gradu gdje nakon djeteta od 5-6 godina kaže to je ta teta koja te naučila dojiti, to je neki poseban osjećaj."
0:00:20,0:00:21,"Vjerujem, vjerujem."
0:00:22,0:00:25,Zašto je to dojenje toliko važno i za žene i za djetete?
0:00:25,0:00:32,"Pa majkama kažem, kad i educirana da je dojenje temelj zdravlja, vi dojenje djete hranite, ali ga i štitite od bolesti."
0:00:33,0:00:36,"Svi prehrambeni, ali i svi protiv upalni elementi se nalaze."
0:00:36,0:00:37,u mlijeku.
0:00:37,0:00:40,"Čim ste izloženi infektu, stanice u mlijeku primaju takve informacije."
0:00:40,0:00:50,"Jednostavno, kobinici duna linije odrane ne dozvoljavaju prodor bakterija, virusa, alergena, patogena i to je ta jako važna zaštita uloga majčnog mlijeka."
0:00:50,0:00:51,A za ženu?
0:00:52,0:00:54,Veliki benefiti su ne samo za dijete.
0:00:54,0:01:11,"Dojka je u poredivu zdravija, puno manje alergija, asmija, brohitisa, upala, pluća, manje bolesti probavnog sustava, dugoročno puno manje leukemija, linfoma, šećerne bolesti, manje su pretili, kažu da su inteligentni, da su inteligentni."
0:01:11,0:01:25,"Da su im kognitivne sposobnosti puno bolje, razvijene oštrina vida, manje ortodonskih problema, jer kada doje koristeći čitavni mišić, pa im se lijepo formira vilica i na kraju izubi, koji nikno budu puno zdraviji, za znatno manje karijela i stila klora."
0:01:26,0:01:32,"Za majku, svakako, majke koje doje, manje su izložene karcinomu dojke, jajnika, osnovno porozi."
0:01:33,0:01:45,"U psihoemocionalnom smislu se puno bolje osjećaju, rijetko kad zabilježena depresija ili anksioznost kod majke koji doje, jer hormon koji se oslobađa u dojenju je hormon ljubavi i bliskosti."
0:01:46,0:01:51,vrlo pozitivno i smirujuće dijelje na majku pa često i vidim dok doje utone u san.
0:01:52,0:02:32,"Svakako da dojenje nosi velike benefite i za društvenu zajednicu jer vi ako imate majku koja doji dijete to dijete će biti zdravije, manje će posjećivati pedijatra, imat ćemo manje troškove u zdravstvu, imat ćemo manje bolovanja kod majke, sve to utječe negdje u sređenom svijetu, a netko je izračunao koliko košta i reciklaža otpada od elimenki, vještačke hrane, znači benefiti dojenja su ogromni su za roditelje u financijskom smislu jer vještaška hrana nimalo nije jeftina, ona je ozbiljno skupa i zahtjeva ozbiljne higijenske mjere pripreme i veliki je napor to raditi noću."
0:02:33,0:02:34,"Da, mnogo je lakše i dojit."
0:02:35,0:02:55,"E pa da, taj dio što je lakše ili nije možda je nešto što u jednom trenutku obeshrabrije žene u trenucima kada dođe do određenih poteškoća jer kao što rekao to je jedno posebno predivno iskustvo i sama sam prošla kroz to tako da mogu zaista iz vlastitog iskustva to i govoriti."
0:02:55,0:02:59,Ali s druge strane te poteškoće su zaista izazovne.
0:03:00,0:03:11,"Ti prvi dani su oni kada se baš lomiš, vrijedili ta bol koja se zna događati uslijed brojnih komplikacija i taj trud za kasnije."
0:03:11,0:03:25,"Mislim kada prebrodiš shvaćaš da to neće biti trajno i da je vrijedilo ali u tim trenucima bez prave podrške vjerujem da mnogim ženama može i presuditi da odustanu, jednostavno da odustanu."
0:03:27,0:03:30,Pitanje je može svaka žena dojiti?
0:03:34,0:03:37,"Po statistici, 1-3% majki nema lijeka."
0:03:38,0:03:49,"Postoje situacije kad žene ne mogu dojiti iz određenih medicinskih razloga, a žene koji uzimaju lijekove koji nisu kompatibilni s dojenjem, ali uzimaju na duže vrijeme."
0:03:50,0:03:57,"Ako majka uzima neke lijekove na kratko vrijeme, tada ja predlažem izdvajanje i održavanje laktacije dok se mogne dojiti."
0:03:58,0:04:17,"Međutim, neka stanja kao što su neke infekcije, recimo aktinna tuberkuloza, infekcija virusom HTVA ili aktivne lezije na dudicu, isto stanja koja ne dozvoljavaju dojenje, ili majke koje uzimaju ulične droge."
0:04:17,0:04:28,"Svakako to je totalna kontraindikacija za dojenje, ali postoje i privremene kontraindikacije gdje uvijek savjetujem izdajati se dok dođe vrijeme da možete dojiti."
0:04:29,0:04:40,"Dobro, ali što sa onim pričama u društvu, recimo da žena jednostavno nema mlijeka, da je pokušala, ali da to mlijeko se ne stvara?"
0:04:41,0:04:46,"Kada se uopće, da malo biološki to predočimo, kada se krene stvarati laktacija?"
0:04:46,0:04:53,"Znači, dojke u trudnoći završavaju svoj potpuni razvoj i pripremaju se za svoju zadaću koja ih očekuje laktaciju."
0:04:54,0:05:02,"I u prvom tromjesečju mlečne stanice rastu, dijele se, proliferiraju i unutar mlečnih stanica već sa 16.1."
0:05:02,0:05:08,se stvara mlijeko i to se obilježava kao laktugen za jedan ili stvaranje mlijeka.
0:05:09,0:05:16,"Ali, priroda se savršeno pobrinula da to mlijeko stoji tu dojkama do poraoda."
0:05:16,0:05:20,"Ono što često majke buni, kad se porode i kažu nemamo mlijeka."
0:05:20,0:05:27,"Ja energično reagujem i kažem mlijeko je tu, vaš posao je samo dojite, budite uporni i vidjet ćete mlijeko će nadoljeći."
0:05:28,0:05:31,I ta obilna proizvodnja se doista desi između drugog i trećeg dana.
0:05:31,0:05:32,Da.
0:05:32,0:05:33,Kada mlijeko naglo nadolječe.
0:05:34,0:05:49,"Da, vjerujem da, mislim sjećam se svog osjećaja sa prvim djetetom, sa drugim sam bila puno samouvjerenija jer sam znala da je to već jednom uspjelo, ali s tim prvim djetetom je nervozno, plače i ti ne znaš uopće kako da ga postaviš pravilno što je u redu."
0:05:49,0:05:53,Jesi li ti anatomski kako bi rekla ispravna.
0:05:53,0:06:03,Je li uopće eto to je isto jedan od mitova da recimo male dojke proizvode manje hrane ili da žene sa manjim dojkama ne mogu dojiti.
0:06:04,0:06:04,Što vi kažete na to?
0:06:05,0:06:05,Nije točno.
0:06:06,0:06:17,"Male dojke proizvode isto mlijeka kao i velike dojke, samo što su male dojke mali kapaciteti za skladištenje i obrasci dojina su sasvim drugačiji kod majki koje imaju velike dojke."
0:06:17,0:06:22,Velike dojke su veliki kapaciteti za skladištenje i obično u jednom podu je dovoljna jedna dojka.
0:06:22,0:06:28,Kod žena sa manjim dojkama desi se da je često u jednom podoju su potrebne obadvije dojke.
0:06:29,0:06:32,Čak mogu reći da su to zahvalnije dojke za dojiti.
0:06:32,0:06:35,"Mala mogućnost zastoja, prijetećeg mastitisa."
0:06:36,0:06:40,"Znači, male dojke nisu mjerilo da ne imate mlijeka, greška."
0:06:40,0:06:42,Sve za vaše dijete na jednom mjestu.
