Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:21,"Poslušat ćemo sada iskustvo jedne divne žene, Imaculej ili Bažiza iz Rwande, koja je u neizmislivo teškoj situaciji otkrila da osim te vanjske borbe koja se događala oko nje, postoji još jedna važnija borba u njezinoj nutrini, to je borba misli."
0:00:21,0:00:36,"Neću sad prepričavati, vidjet ćete kako jedna obična djevojka je otkrila nešto što je prevažno za svakog od nas: tu borbu misli, borbu kojim mislima ću se prikloniti."
0:00:36,0:00:41,Čak je otkrila da neke misli proizvode otrov i u njezinom tijelu.
0:00:42,0:01:16,"Danas se mnogo govori o pozitivnim mislima, važno je pozitivno misliti, posebno o njoj jeđu, postoji mnogo knjiga o tome napisani, ali na jedan jako jeftin način govore o tome, jer evo u nekoj situaciji teškoj kao njezina, ali u nekim svakodnevnim teškim situacijama gdje živiš s nekim tko te ne podnosi, tko ti iskazuje zlobu, evo kako uopće naći neke pozitivne misli, a na kraju krajeva što je to pozitivna misao, što je pozitivna, što je negativna misao, kako to mogu znati ako ne znam koji je čovjek, koji je smisao njegovog života., koji je cilj."
0:01:17,0:01:26,"Ne znam, čini mi se kad nekoga napada ili kad ne mrzim, jako pozitivno mi se čini da ja njega mrzim, da napadam."
0:01:26,0:01:29,Čak mi se čini da niti ne postoji druga misao.
0:01:31,0:01:46,"Kada si u napasti, prevariti muža ili ženu ili nešto drugo na tom području, činiti se u tom trenutku, ako dođeš do te situacije, čini jako pozitivno, prirodno, lijepo, zamamljeno."
0:01:47,0:01:47,Zašto ne?
0:01:48,0:01:53,"Evo, ko mi može pomoći da otkrijem što je pozitivno, evo tu je najveći problem."
0:01:54,0:02:21,"Evo postoji, mi u crkvi imamo pustinske oce, to su ljudi koji su se povukli u pustinju i bavili su se, danas bi rekli introspekcijom, bavili su se molitvom Bogom, ali kroz to su dobili jedan snažan uvid u ljudsku nutrinu i rekli su ovo da je najvažnija djelatnost za svakog čovjeka, budjeti na vratima svoga uma i pitati misli, odakle si, dođe na misao ti i pitaš odakle si, od Boga ili od neprijatelja."
0:02:22,0:02:31,"Kada si zadnji put pitao, pitala svoje misli, odakle si, kada počne čovjek učiti molit, sad to radimo na ovim susretimaima koje imamo u crkvi."
0:02:31,0:02:33,To je kao škola molitve.
0:02:33,0:02:39,Zovemo hitna pomoć za nemirne jer nemir dolazi od toga što nemamo taj odnos sa Bogom.
0:02:40,0:02:45,"Onda kad čovjek poče moliti, otkrivaš da tvoja nutrina je kao jedan pazar, kao jedna pijača."
0:02:45,0:02:47,"Ti hoćeš sad moliti, hoćeš biti na miru."
0:02:48,0:02:54,"I onda vidiš da misli kao kroz neke rupe, cure, na sve strane, misliš na ovo, na ono što ti je rekao."
0:02:54,0:03:00,"I onda tada možeš razumijeti jednu jako važnu stvar da ne upravljaš ti svojim mislima, nego oni upravljaju s tobom."
0:03:00,0:03:09,"Onda poželiš uspostaviti kontrolu, da li je moguće uspostaviti kontrolu, pitati misli, prije svega je važno shvatiti da neke misli dolaze od neprijatelja."
0:03:09,0:03:28,"Mi u kršćanstvu ne bojimo se reći zloduh, demon, ne znam, neki ne žele upotrebiti tu riječ ali naći neku drugu, možeš reći zle misli, loše misli, evo koje me mame, koje mi prikazuju nešto pozitivno, a na kraju me vode u propast."
0:03:29,0:03:38,"Uvijek je u oholosti, umišljenosti, recimo to su za nas kršćane negativne misli, uvijek je u njima nešto masochistički."
0:03:38,0:03:40,Masochizam znači neka slatkoća u boli.
0:03:40,0:04:03,"Zamislite jedno dijete kojemu mama nešto mu kaže, nešto ga ispravi, korigira odgojno, on se naljuti, ode u svoju sobu, plače, onda mama nakon pola sata želi ga odobrovoljiti i onda mu donese neki kolač koji joj najviše voli, onda ga on baci na pod, neću, neću, a voli taj kolač, mogao bi uživati u zajedništvu s mamom s kolačom."
0:04:03,0:04:10,"Evo ta umišljenost, oholost kao temelj svih negativnih naših misli je uvijek masochistička."
0:04:11,0:04:18,"Ja mislim da radim dobro, a zapravo biram i svoju bol i tuđu i mučim sebe i druge."
