Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:03,0:00:14,"Za početak, mislim da nikad ne možemo dovoljno upoznati to ime, koliko je zaista svetoj i snažno."
0:00:15,0:00:18,Kaže da je to ime pred kojim dršću Đavli.
0:00:19,0:00:22,Zatvorite svoje oči i zamislite si tu sliku.
0:00:23,0:00:27,"Ime Isusovo i pred njim dršću Đavli, dršću od straha."
0:00:31,0:00:37,"I gledajte kako pred tim imenom, imenom Isus, klekne svako koljeno, jer tako piše u Bibliji.."
0:00:37,0:00:40,Pred imenom Isusovim kleknuće svako koljeno.
0:00:45,0:00:54,"I zamisli sada da izgovaraš ime Isus, a ljudi u tvojoj blizini kleknu od strahopoštovanja, kleknu od sile koja je u tom imenu."
0:01:03,0:01:11,"Zamisli sada da svaki problem koji ti dođe, da pogledaš na njega i kažeš Isus."
0:01:12,0:01:13,I pokušaj.
0:01:21,0:01:28,"Zamisli se kada imaš najveće napade i najveće kušnje, kada te opterete uznemirujuće misli i ne znaš kud bi s njima."
0:01:31,0:01:33,Zamisli kada te napadaju suicidalne misli.
0:01:35,0:01:38,Zamisli kada te napadaju misli ostavljenosti.
0:01:40,0:01:42,"Gorčina, neupraštenje prema drugom."
0:01:45,0:01:46,Žaljenje samog sebe.
0:01:47,0:01:48,Zamisli kada kažeš Isus.
0:01:50,0:01:54,"I sve dolazi na svoje, sve dolazi na mjesto na kojem treba biti."
0:01:57,0:02:02,"Osjetite to, taj strah Božji, osjetite strah opoštovanja pred tim imenom."
0:02:05,0:02:09,"Gospodine, kajmo se za svaku pogrešnu upotrebu tvoga imena."
0:02:10,0:02:14,Oprosti mi gospodine za manjak straha opoštovanja.
0:02:16,0:02:19,Oprosti mi što mi je tvoje ime bilo poštapalica.
0:02:20,0:02:22,Ime pred kojim dršću đavli.
0:02:24,0:02:25,Ime nad svakim imenom.
0:02:28,0:02:30,Jer nisu se toliko te izvisio.
0:02:30,0:02:32,Bog ti je dao ime nad svakim imenom.
0:02:33,0:02:35,"Oprosti mi, gospodine KMC."
0:02:36,0:02:39,Želim u tom imenu naći nove stvari.
0:02:39,0:02:43,"Želim otkriti što je zaista tvoje ime, što mi zaista tvoje ime znači."
0:02:52,0:02:56,"I ponavlja najprije u svojim mislima ime Isusovo, ali polako i sa strahopoštovanjem."
0:02:59,0:03:01,I vidi kako se atmosfera u tebi mijenenja.
0:03:02,0:03:11,"Isus, Isus, Isus."
0:03:12,0:03:15,I dolazi svjetlo u najmračnije dijelove tebe.
0:03:18,0:03:26,"Isus, Isus, Isus."
0:03:29,0:03:34,"I nijedna tama ne može opstati, svako zlomara pobjeći."
0:03:37,0:03:41,"U imenu Isus, Isus."
0:03:42,0:03:44,Neka cijela tvoja nutrina odjekuje.
0:03:45,0:03:45,Isus.
0:03:46,0:03:47,U obožavanju.
0:03:48,0:03:48,Isus.
0:03:49,0:03:51,Kao najsvetija stvar.
0:03:51,0:03:52,Isus.
0:03:55,0:03:55,Isus.
0:03:59,0:04:04,"Kad počneš osjećati da te preplavljuje, kreni izgovarati potihu šaptom."
0:04:04,0:04:04,Isus.
0:04:12,0:04:18,"Isus, Isus, ime nad svakim imenom."
0:04:19,0:04:44,"Isus, Isus, Isus, silno ime, Isus, neće me Isus, slovoda."
0:04:50,0:04:52,I sjeti se što nam je ostavio Isus.
0:04:53,0:05:02,"Kada je rekao da što god zamolimo od Oca u njegovo ime, u njegovo ime, da će nam se."
0:05:03,0:05:04,I sjeti se samo prve crkve.
0:05:07,0:05:10,Bila je dovoljna rečenica u Isusovo ime hodaj.
0:05:13,0:05:17,"I oni koji do tada nisu napravili ni korak, hodali su, trčali su, skakale su."
0:05:20,0:05:26,"Bilo je dovoljno u Isusovo ime, budi zdrav i kupa bi spavalaala istoga trenutka."
0:05:34,0:05:39,Najrazličitija čudesa i tada i danas događaju se u Isusovo ime.
0:05:59,0:06:16,"Ja ću od svega gospodinine, tvoje ime je jače od svakog uroka, od svake zle sile, tvoje ime je snažnije od svake čarolije, tvoje ime je nad svakim imenom, sve ostalo mora pokleknuti, sve ostalo mora pasti pred tvojim imenom."
0:06:16,0:06:18,Neka se to dogodi danas gospodine.
0:06:19,0:06:25,"Isus, Isus, Isus, Isus."
0:06:35,0:06:37,Ime Isus.
0:12:43,0:12:47,"U kreveti nas Gospodin, u kreveti nas tamo gdje smo slabi, gdje smo umorni."
0:12:47,0:12:51,Dolazimo si takvi umorni optereženi da nas pomogneš.
0:13:01,0:13:06,Svaja snaga u imenu Isusa.
0:13:08,0:13:13,Svaja snaga u imenu Isusa.
