Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:03,"saborski zastupnik, kandidat za župana Marin Miletić."
0:00:03,0:00:04,"Dobar dan, dobrodošli."
0:00:05,0:00:11,"Dobar dan, lijep pozdrav vama gospodine Branko, svim slušateljicama i slušateljima radi Jadranke."
0:00:12,0:00:34,"Proći ćemo mi s kandidatom za župana jer Domovinski pokret, HSLS, Suvremenisti i MOST imaju još četiri emisije za realizirati u danima do šesnaest a gospodin Miletić, kandidat za župana Primorsko-goranskog i saborski zastupnik danas sam danas s vama."
0:00:34,0:00:36,Ne prvi put na Lošinju.
0:00:36,0:01:20,"Ma puno puta sam ja ovdje bio, pogotovo sportski zato jer igram još aktivno košarku, Adva Ligu za moj Kastal i ovdje je uvijek bilo matreno kad bi dolazili Jadraci u goste, bez obzira što smo nekad na papiru stvarno imali puno, puno jača imena, uvijek je ovdje bilo pobjedu iskopati, dakle ono koš na koš i jako se dobro osjećam, inače kod otočana i moja kćer se udaje na Rabu Zarabljanina, mlađa kćer ima dečka na otoku, moj zamjenik je inače Lošinjanin Leo Pavela čija obitelj ovdje živiio, odrastao, bavio se turizmom i ustvari osjećam se kao kuć, evo u doslovnom smislu kad dođem tako da lijepo se osjećam kao Lošinj."
0:01:20,0:01:25,"Ivica je protiv kad je, čija je rekla zarabljena da."
0:01:25,0:01:28,"A evo ga, da, pa lijepo je sve to, lijepo je sve to."
0:01:29,0:01:29,"Lijepo, pravo."
0:01:31,0:01:36,"Ovog puta na Lošinju kao kandidat za župana Primorsko-goranskog, zašto župan?"
0:01:37,0:01:43,"Pa gledajte ovako, prvo stvarno bi volio iskoristiti priliku i probat možda približit ljudima šta se događa."
0:01:45,0:02:06,"Prvi put od samostalnosti Hrvatske idemo svi zajedno, sve suverenističke političke opcije od centra na desno, ljudi kojima je jako važan kršćanski svjetonazor, mi koji mislimo da je jako važno štititi našu obitelj, čuvati jednu tradiciju, paziti na sigurnost unutar svog društva, brinuti o našim umirovljenicima."
0:02:06,0:02:27,"Ja osobno kako sam sportaš jako mi je važna promocija sporta i rekreacije, a onda šesnaest godina sam proveo u školi u Sušačkoj gimnaziji, najvećoj gimnaziji u regiji, tamo sam bio razrednik sve godine od prvog dana i vjeručitelj i naravno da su mi jako važni srednjoškolci, županija osnivač tr 34 srednje škole, tako da posebno sam se tome posvetio."
0:02:28,0:02:31,"Ali ono što sam htio u uvodu reći, prvi put idemo zajedno."
0:02:31,0:02:46,"Dakle, nema podjela, nema, nekako smo uspjeli s pomoć Boži, jer sami to ne bi nikako, taj ego u nama koji je ogroman, ja ga imam, puno sam se mučio s njime i borio i kad sam s partnerima ulazio u cijelu ovu priču, vi morate dati nešto."
0:02:47,0:03:00,"Onda vi mislite da puno ste teži nego što možda jeste, ali onda traži vam HSP, traže ovi, traže suverenisti, razgovori, ja sam rekao, ok, ako mi Bog prvi, a stvarno je i trudim se tako živjeti, tu sve mane koje imam, imam ih jako puno."
0:03:01,0:03:06,"i potreba sam isto ljubavi i Božje milosti, ali ako mi je Bog prvi, a Hrvatska druga."
0:03:06,0:03:07,"Dakle, ne moja stranka."
0:03:07,0:03:17,"Moja stranka, ja sam se tu pronašao, nekako osjećam se dobro, to su dobri momci i Petrovi Grmo i cijela ekipa, poštena ekipa i ja tu stvarno sam se pronašao."
0:03:18,0:03:24,"Ali ako je meni Hrvatska važnija od svega, onda ja ne smijem gledati sebe i samo svoje dobro, nego koje je opće dobro."
0:03:24,0:03:53,"I mi smo tu uspjeli naći zajednički jezik sa Hrvatskom strankom prava, hvala Marini Logarušić, nacionalnoj predsjednici, stvarno pokazala se fantastična, isto tako hvala gospodinu iz Buza umirovljenjaici zajedno, milivoju špiki, isto je pokazao jako otvoren se u svemu, stao nam je uzbog sa svojim umirovljenicima, gospodinu Pavličeku, dakle hvala i njemu i on nam je stao uzbog sa hrvatskim suverenistima, ali isto tako ja ću biti otvoren."
0:03:53,0:04:05,"Dakle, evo mi smo tu u Lošinju, mislim da je to jedino gdje smo s Domovinskim pokretom, hvala i njima, dakle, Pedav je nas nije mirirao jer oni da su htjeli, oni su to mogli zaustaviti, kao i moji da su htjeli."
0:04:05,0:04:13,"Ali mi smo rekli, ljudi moji, dakle, idemo zvati sve, mi kao MOST, kao neki senior partner, tko god nam se želi pridružiti, neka nam se pridruži."
0:04:13,0:04:13,"druži, neka nas se pridruži."
0:04:13,0:04:18,"Tko dijeli naše svjetonazore, pogled na svijet, ajmo probati lokalno donesti promjenu."
0:04:18,0:05:33,"I kod nas u Primorsko-goranskoj županiji esdepe je na vlasti osamdeset godina, dakle partija se nije mijenjala neki kažući četrdeset pet ali evo od devedeset sigurno dakle to je ista stranka i ja ću vam biti potpuno iskren ja nemam ništa protiv tih ljudi nemam stvarno protiv nikoga ništa i mislim da esdepe na čelu sa svojom upravom oni su mnoge stvari dobro radili i mnoge stvari su dobro napravili ali uvijek kažem ljudima dragi moji pa da su najbolji a nisu dakle nisu i vjerujem da se puno toga može popraviti, reći ću vam nešto o Lošinju, kakve ideje imamo, pa daj malo ih promijeniti, ono, promijeniti ih, pa ako drugi ne valjaju, reci, pa ne, znate šta, ja mislim da nije dobro za demokraciju, a onda je tu velik problem nepotizma i korupcije, kad vi imate dugo godina na vlasti istu stranku, ma koja god ona bila, dakle htjeli, ne htjeli, ljudi su od krvi i mesa, vi pustite kapilarno svoje pipke dolje, onda uvijek je tu neka zaposljavanja, uvijek se tu nekako gleda, ajmo mi, familiju svoju osigurat, pa ovo, to nije dobro, to nije dobro za društvo, jer onda netko čiji tata nije u nekoj partiji, onda netko tko naprimjer je visoko obrazovan ali nikog ne zna, jednostavno tako nije umrežen, on se ne može ostvariti i to nije dobro, onda društvo ne može rasti."
0:05:33,0:05:37,I s jedne strane stvarno sam Bogu zahvalan da smo svi krenuli zajedno.
0:05:38,0:05:41,"Ako me vi pitate kako stojite, ja ne znam."
0:05:41,0:05:44,"Dakle, ja sam vidio sa ovim očima dvije ankete."
0:05:44,0:06:42,"Jednu anketu sam vidio od s lijeve strane, dakle gdje je čovjek pokazao, bila je rađena od dva do pet ožujka i tamo sam imao preko trinaest posto a drugu anketu smo mi radili na jedna tisuća petsto ispitanika od četiri do osam do devet travnja i tu sam imao devetnaest posto dakle rast zanimljivo da kada smo radili prvu anketu nije se znalo da Buzi ide s nama da Leo Pavela ide s nama nisam imao potporu generala sačića hrvatskih branitelja tončija hrabrića sto jedanaest dijela ne svih naravno ali branitelja koji su javno istupili luje soldićako strenjanina koji je bio devet mjeseci u srpskom logoru a čovjek je inače bio šef domovinskog pokreta tamo evo i on je javno istupio rekao ja dajem podršku marinu miletiću i nakon svih tih podrška javnih sportaša, ljudi iz života mojih riječana, ja sam uvjeren evo da sam bio u rastu."
0:06:43,0:07:13,I u toj anketi hadeze je dvadeset posto g ružić ja sam devetnaest esdepe trideset tri dakle tu ćemo se u svaku kuću za drugi krug i neka bude volja božja kako ljudi žele kako oni žele da bude uređena županija tako neka glasuju samo neka izađu na izbore oprostite mi možda na ovom mom mogu pričati dosta učitelj sam bio šesnaest godina podane stajem puno sam razmišljao o lošinju i uvijek nekako se trudim to radim i u gorskom kotaru mene vam nije sram priznat šta ne znam.
0:07:14,0:07:27,"Ja sam došao u Goranima, u Mrkopalj, u Delnice, u Vrbovskoj, ja sam rekao ljudi moji, ja sam vodio katoličke skaute i prošao sam svaku planinarsku stazu ali ja ne znam koje su prave vaše potrebe jer se nisam prije bavio politikom lokalnom i recite mi."
0:07:27,0:07:56,"I onda su mi ljudi tamo rekli marine uništili su nam proizvodnju plavog krumpira, mi u Mrkopju nemamo nordijski centar, znači nije završen Vrbovska poljana, marine nemamo muze skijališta, još jedna tisuća devetsto dvanaest smo ovdje imali skija, tečaj skijanja jedna tisuća devetsto trinaest i četrnaest imali smo ovdje natjecanje u skijanju i onda su mi to gori rekli uništena drvna industrija ja sam rekao da ću sve od sebe, dakle i sad u ovoj kampanji i poslije kad god završi da stavimo to u fokus tu našu hrvatsku švicarsku."
0:07:57,0:07:58,To sam radio i sa otočanima.
0:07:58,0:08:27,"Dakle na rabu sam često i radi obitelji moje kćeri su mi dolje, je, dakle stvarno često i prije sam dolazio na rabu i sa župnikom sam dobar i tako kroz neke druge odnose privatne, a ovdje, kažem, moj pavela zamjenik je šta ćete, gdje ćete da pokaže veću ljubav prema Lošinjanima, dakle evo čovjek koji je tu rođen, koji je tu odrastao, odgajan, bio radio turizmu je moj zamjenik i čovjek turizma, ima svoje brodove, bavi se nautikom, dakle sa turistima."
0:08:27,0:08:33,"No ono što sam ja saznao, dakle Lošinj ima ogroman potencijal, ogroman."
0:08:33,0:08:47,"Nažalost, u zadnje vrijeme imamo nešto pad u turizmu, ja mislim da je glavni razlog između ostalih poskupljenja, ovo to je neka druga tema, mislim da je razlog neadekvatno i nedovoljno kvalitetni rad turističke zajednice."
0:08:48,0:09:31,"Dakle ako vi imate jedan biser, ovdje imamo sjajne hotele, vrhunske hotele, vrhunske hotele na Lošinju, imate, pa imate samo ovaj Bože sa, kako se zove, centar mirisnog bilja sa tristo pedeset vrsta gospođa nikolić ako se ne varam na pamet evo iz srca vam govorim vidite da ispred mene nemam ni jedan papir ništa se nisam spremao uvijek tako govorim i u hrvatskom saboru i ovdje iz ljudi iz naroda ako vi ovdje imate ako vi ovdje na lošinju imate da se nekad srdela proizvodila a vi nemate vertikalno i horizontalno gospodarstvo i turizam kao takav dakle mi imamo mi moramo imati svoje ribare ti ribari moraju doć moći ovdje prodati srdelu ta srdela se mora ovdje proizvoditi pa ista vam je stvar kao u gs."
0:09:32,0:09:42,"kotaru mi najskuplje naše drvo buku sječemo dajemo i za kikeikiriki van, a onda kupujemo najskuplji namještaj izvana kao da smo idioti pa ne znamo sami napraviti namještaj."
0:09:43,0:09:44,To je nekomu u interesu.
0:09:44,0:09:46,I sad da ne idemo u neke teorije u koje ne treba ići.
0:09:47,0:09:51,"Dakle, Lošin ima ogromnu perspektivu zdravstvenog turizma tijekom zime."
0:09:51,0:10:00,"Pa nekada su ovdje ljudi dolazili tijekom čitave zime, pa prvi centar u svijetu za liječenje dišnih bolesti, asme, brahitisa i svega."
0:10:00,0:10:02,Ma neka mi braćani ne zamijere.
0:10:03,0:10:08,"Ja sam ipak rođeni riječanin i svoju županiju volim cijelu Hrvatsku, a svoju županiju volim najviše."
0:10:09,0:10:11,Pa taj brać je povezan sa cijelim svijetom.
0:10:11,0:10:15,Pričamo o avionima i aerodromu.
0:10:15,0:10:20,A vi na Lošinju imate aerodrom koji ima sve dozvole i nema niti jedan jedini let.
0:10:21,0:10:23,"I sad će oni reći, ali nitko nije zainteresiran."
0:10:23,0:10:25,Pa zato jer vi ne radite svoj posao.
0:10:25,0:10:37,"Kad bi evropljani, ljudi svijeta znali koje su ovdje sve blagodati, koliko ovdje se dobro živi, koliko lijepo je ovdje živjeti, zdravlje kroz zdravstveni turizam, pa onda bi ti ljudi dolazili, ali ti im to moraš ponuditi."
0:10:37,0:10:40,"I evo stvarno vidim u tome ogromnu, ogromnu perspektivu."
0:10:41,0:10:54,"Imamo sad i ovu priču što svi političari prije izbora obećaju, pa vidimo od kolege Lukanovića do svih ostalih, izgradit će vam dom za starce, zato jer je velik problem sa našim umirovljenicima koji stvarno nemaju adekvatan smještaj."
0:10:54,0:11:05,"Ja sam inače u svom programu zamislio dnevne centre za umirovljenike, zato jer mi je velika želja na koncu po Ustavu erha djeca trebaju brinuti o svojim roditeljima."
0:11:06,0:11:10,"Naravno gdje god im je to moguće, nažalost nekad ih život odvede skroz druge priče, ali gdje god je moguće."
0:11:11,0:11:16,"I onda sam rekao, pa zar nije obitelj najljepše moguće mjesto gdje starci bi trebali biti?"
0:11:17,0:11:33,"Pa onda ajde, djeca rade, imaju svojih obveza, odvedu svoje roditelje u taj dnevni centar, mi kao županija to pratimo, tu dakle naši klijenti imaju, roditelji imaju, umirovljenici bogati program i medicinsku skrb, edukaciju, zezancije, sve, dakle baš da se osjećaju dobro."
0:11:34,0:11:41,"I onda djeca kad dobave ne znam svoj posao, ošpežu, kupe čaj rabi, pokupe roditelji, vrate se opet u okrilje svoje obitelji."
0:11:42,0:11:43,I nekako na to će mi biti fokus.
0:11:43,0:11:49,"Jer danas, sutra i mi ćemo biti stariji ako nismo našim djeci pokazali kako prema starijima, onda će oni tako i prema starijima."
0:11:49,0:11:50,"Mnogi to zaboravljaju, da."
0:11:51,0:12:00,"Htio bih pitati kad ste rekli da sad svi idete zajedno, je li vas na to malo ohrabrilo što se komadi napovuku?"
0:12:01,0:12:09,"Dakle, ovako, ja sam sada nešto u fajtu sa županom Komadirom, ja kad čovjeka poznajem, pa nekih, sada da vas ne lažem, mislim 20 godina."
0:12:09,0:12:19,Ja sam kao vjeručitelj 14 godina vodio projekt organizacije ljetovanja siromašne djece iz Srebrenice koje nemaju majku i tatua ili su u potpuno disfunkcionalnoj obitelji.
0:12:20,0:12:26,"To su vam djeca, kad su moji studenti prvi put vidjeli tu djecu, cure su mi plakale."
0:12:26,0:12:30,"Inače su ono žene emotivnije, mi muškarci plačemo kada se niko ne vidi, je li ne."
0:12:31,0:12:32,I oni su vam ščarapama ulazili u more.
0:12:33,0:12:35,"Oni nikada nisu more vidjeli, dakle u životu."
0:12:35,0:13:08,"I ja sam od njih kupio iz cijelog tog kantona i cijelog tog područja Srebrenice i pokušavao ih spojiti sa katolicima iz Tuzle i da onda u jednom, u četrnaest dana boravka dakle u Driveniku, u prekrasnom našem Kaštelu gore, mi imamo kao nadbiskupija pastoralni dom Blaženik Karnale Stepinac i onda sam bogati program im gore nudio i ja sam tu surađivao i sa županijom i mene gospodin Komadina zna iz tog razdoblja i sad kad smo ušli u neki fight, čovjek sad nebitno kako se javi i kaže pa evo i šta bi onda uvijek si bio otvoren ovo."
0:13:08,0:13:19,"Ja kažem, ali mene zanima samo istina, mi smo se nešto, imamo informacije iznutra da nažalost se novac nije trošio na najrazumniji i da budem blagi i pristran, adekvatniji način."
0:13:21,0:13:24,Tu je ogromna suma novca otišla na neke čudne stvari.
0:13:24,0:13:30,"Uvijek u politici to vam je dobro i nije, mislim, ja stvarno se trudim, ja vam nikad nisam htio ići ad hominem."
0:13:30,0:13:37,"Mi imamo i fotografije i svašta ljudi, znate ono konferencija je u Istanbulu, jedan dan ljudi ostanu devet dana, pa tko je to platio?"
0:13:37,0:13:48,"Pa onda ono putovali su da Bog prosti od Mongolije do Islanda, a nisu ni zaveli da su bili u Izraelu i ovo vam je ekskluziva ili da su bili u Kanadi ili u Americi."
0:13:48,0:13:49,To nije ni za zavedeno.
0:13:50,0:14:28,"I sad ja sam samo htio, ne ja, pazite, evo sad sam ono ja pa jakalo što bi rekao Milanović, dakle naš županijski vijećnik Leo Pavela, lošinjani ovdje, moj zamjenik, kandidat za zamjenika vam je u listopadu dvadeset četiri zatražio pismeno izvješće za petsto tisuća eura potrošeno na putne naloge kao županijski vijećnik i on je rekao ljudi pazite ima video na youtubu i on je rekao ljudi koje su specifikacije tko je putovao s čijim novcem je to naš novac koji beneficije donio županiji nismo odgovorili to je bio polugodišnji proračun u prosincu nakon dva mjeseca pavela ponovno pita, ide novi proračun i on kaže niste mi odgovorili što je s ovim."
0:14:29,0:14:31,Opet mu u Komadini ni ljudi nisu odgovorili.
