Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:09,0:00:12,"Duše sveti, dobro nam došao."
0:00:14,0:00:16,Ovdje smo prisutni s tobom.
0:00:18,0:00:20,U ovoj molitvi želimo ti predati svoja srca.
0:00:22,0:00:24,Želimo ti predati sve što je u njima.
0:00:26,0:00:35,"Gospodine, ostavljamo ovdje sad u ovom trenutku sve naše brige, sve naše terete i želimo ti dati ovo vrijeme."
0:00:37,0:00:40,"Želimo ti prikazati gospodine svoje glasove, svoje talente."
0:00:42,0:00:47,"Želimo ti prikazati sve što nosimo, što imamo u svom srcima."
0:00:47,0:00:49,Želimo ti dati na dar gospodine.
0:00:51,0:00:55,Hvala ti na tvojoj svetoj prisutnosti i hvala ti što uvijek dolaziš kad te zazivamo.
0:00:58,0:01:00,Duše sveti želimo prijateljijevati s tobom.
0:01:02,0:01:06,Hvala ti gospodine što imamo tu privilegiju.
0:01:07,0:01:10,Hvala ti gospodine na tvojoj svetoj ljubavi.
0:01:11,0:01:12,Hvala ti gospodine.
0:01:15,0:01:17,Dođi još dublje u naše srca.
0:01:18,0:01:20,Dođi duše sveti i postavi red.
0:01:22,0:01:24,"Jer mi te želimo slijediti, duše sveti."
0:01:26,0:01:30,"Mi želimo, gospodine, da ti svoju svetu vatru izliješ na nas."
0:01:32,0:01:34,"Želimo, gospodine, da prožmeš naše srca."
0:01:35,0:01:39,Neki izgori sve što ne treba biti u tvojoj svetoj prisutnosti.
0:01:40,0:01:42,"Želimo duše svediti te, slijediti."
0:01:45,0:02:03,"Želimo duše sveti tebe, više tebe u našim životima, više tebe u našoj svakodnevnostiici, više tebe gospodine u našim mislima i više tebe gospodine u našim govorima, više tebe gospodine u našim odnosima."
0:02:04,0:02:10,"I zato dođi duše sveti, dođi duše sveti i prožmi nas jer želimo te slijediti."
0:02:10,0:02:16,Ti si naš put i ti si naša istina i ti si naš život.
0:02:17,0:02:19,Dođi duše sveti.
0:02:36,0:03:03,"Kao da čujem tvoj glas, tako nježan milosrda mojej me doziva i tiho progovara."
0:03:42,0:04:07,"U istinu, slijedi me, ja živo darujem i čuvam te kada slomete, samo zovim jer ja u tebe ostajem."
0:04:28,0:04:54,"Kada čujem tvoj glas, tako nježan milosrdan mojej me dozima i tiho progovara."
0:07:29,0:07:56,"Ne može srce moje dotaknuti, da cijelu vječnost tražim, neću naći nikoga kao što si ti, nitko kao ti."
0:07:59,0:08:01,Ne može srce moje.
0:08:02,0:08:18,"dotaknuti, da cijelu vječnost tražim neću naći nikog kao što si ti."
0:08:21,0:08:32,"Ta predivna tvoja milost dotiče nas, tvoja ruka isijeljuje."
0:08:36,0:08:38,Dvori su tvojim.
0:08:38,0:09:28,"i moje sklonište, nitko kao ti nije, nitko kao ti ne može srce moje dotaknuti da cijelu vječnost traži neću naći nikog kao što Što si ti, gospodine nitko nije kao ti."
0:09:31,0:09:34,Tvoja ljubav slađa od svakog meda.
0:09:35,0:09:40,Gospodine tvoja ljubav vrijednija od svakog srebra i od svakog zlata.
0:09:42,0:09:46,"Gospodine u tebi imamo sve, svaki blagoslov."
0:09:48,0:09:52,"Gospodine, ti si sva naša su, mi smo tvoja svojina."
0:09:53,0:09:55,"i ti si naš blagoslov, gospodine."
0:09:57,0:10:04,"Želimo se odmoriti u tebi, gospodine, jer sve što imamo, ništa je nasprem tebe."
0:10:06,0:10:09,"Hvala ti, gospodine, na tim blagoslovima."
0:10:09,0:10:13,"Hvala ti, gospodine, što iznova, iznova nam se daješ."
0:10:14,0:10:17,"Hvala ti, gospodine, na toj rosi milosti."
0:10:19,0:10:25,"Hvala ti, gospodine, jer šta bi mi bez tebe i gdje bismo bili bez tebe?"
0:10:26,0:10:29,"Gospodine, želimo se odmoriti u tvojoj ljubavi."
0:10:31,0:10:38,"Otvori nam oči, gospodine, da vidimo šta sve imamo u tebi i da sve što posjedujemo imamo zbog tvoje ljubavi prema nama."
0:10:40,0:10:42,"Hvala ti, gospodine."
0:10:44,0:10:47,Ti si draži nama od svakog srebra i od svakog zlata.
0:10:48,0:12:39,"Ti si nama draži, mi od srebra, više od svega zlata vrij vrijediš ti, Gospode od diamanta, ti si ljepši."
0:12:41,0:12:47,"Što god želim, nije kao ti."
0:12:52,0:12:57,Tko prosuditi može tvoju vrijednost?
0:13:33,0:13:49,"Bože ti, si draži mi od srebra, više od svega zlata vrijediš ti."
0:13:52,0:14:07,"Gospode, od diamanta ti si ljepši, što god želim nije kao ti."
0:14:11,0:14:26,"Tko prosuditi može tvoju vrijednost, koliko mi znači što te znam?"
0:14:31,0:14:44,"Blagoslove ne mogu prebrojati, samo znam da velik si ti."
0:14:50,0:15:07,"Bože, ti si draži mi od srebra, više od svega zlata vrijediš ti."
0:15:09,0:15:24,"Gospode, od diamanta ti si ljepši, što god želim mi je kao ti."
0:15:28,0:15:45,"Bože, ti si draži mi od srebra, više od sveg zlata vrijediš ti."
0:15:47,0:16:15,"Gospode, hvala ti na svim milostima koje si nam dao kroz ovo slavenje."
0:16:17,0:16:22,Hvala ti što si nas napunio svojom ljubavlju i svojom svetom prisutnosti.
0:16:24,0:16:28,Hvala ti gospodine što nas obnavljaš i što obnovljeni idemo u ovaj dan.
0:16:31,0:16:36,Hvala ti gospodine što smo uvijek s tobom na izvoru milosti.
0:16:37,0:16:40,Hvala ti što si ti naša vol voda živa.
0:16:41,0:16:45,I hvala te gospodine što nam uvijek iznova novi život daješ.
0:16:47,0:16:49,Novu snagu za svaki dan.
0:16:50,0:16:53,"Hvala ti Isuse, hvala te gospodine."
0:16:54,0:16:59,Ti si predivan i ti si dostojan svake naše hvaloslave.
0:17:00,0:17:02,Ti si dostojan gospodine.
0:17:03,0:17:10,"Proslavi se u svakoj osobi, proslavi se u svim situacijama, u svakom životu."
0:17:12,0:17:13,Proslavi se gospodine.
0:17:14,0:17:16,Idi s nama i proslavi se.
0:17:16,0:17:17,u ovom danu.
0:17:17,0:17:19,"Idi s nama, gospodine."
0:17:43,0:17:51,"Da cijelu vječnost tražim, neću naći nikoga."
0:17:52,0:18:28,"Kao što si ti nitko kao ti, ne može srce moje dotaknuti, da cijelu vječno stražim, neću naći nikoga kao što si ti."
0:18:33,0:19:06,"Nitko kao ti ne može srce moje dotaknuti da cijelu vječnost tražim, neću naći nikoga kao što si ti da cijelu vječnost tražim ne."
