Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:06,"Poštovani gledatelji, razgovaramo sa nezavisnim zastupnikom u Europskom parlamentu gospodinom Mislavom Kolakušićem."
0:00:06,0:00:22,"Gospodine Kolakušić, tko dovodi zapravo hadezea na vlast u erha Građani često misle da birači hadezea dovode i da njih ima jednostavno previše da oni imaju vojsku glasača i da glasači dovode hadeze na vlast."
0:00:23,0:00:28,"Međutim, to je potpuna zabluda, nije utemeljena niti u činjenicama niti u ničemu."
0:00:28,0:00:41,Glasača hadezea na svim izborima nikada nema više od trideset pet posto šezdeset pet posto građana erha koji izlaze na izbore daju glas oporbi.
0:00:42,0:00:48,Tko onda zapravo ako nisu to birači hadezea tko dovodi hadeze do pobjede na svim izborima?
0:00:50,0:01:28,"Dovodi ih čelnici oporbenih stranaka jer razmrljuju glasove ili dolazi do nekih malih mikro koalicija koje petšest posto pretvaraju sedamosam ili petnaest u osamnaest što je nedovoljno šezdeset pet posto građana erha želi da hadeze nestane iz hrvatske i da bude očišćen iz svih struktura vlasti strukture vlasti nisu samo znači premijer, ministri, pravosuđe itede To su svi nadzorni odbori u svim trgovačkim društvima u vlasništvu erha i u suglasnosti."
0:01:28,0:01:40,"To znači HEP, HŽ, svugdje svim tim firmama, to su poluge vlasti, tu se troše milijarde eura, odnosno pljačkaju milijarde eura."
0:01:42,0:01:49,"Dakle, da ponovimo, ne dovode hadeze na vlast njihovi birači jer njih ima premalo."
0:01:49,0:01:53,"Čak i da ih još više izađe, još uvijek ih ima premalo."
0:01:53,0:02:32,I da ih deset posto hadeze osvoji više da osvoji četrdeset pet posto pedeset pet posto glasova pripada oporbi zašto tih pedeset pet i onih standardnih šezdeset pet dovodi do nula posto vlasti zbog glumatanja čelnika oporbe mi ne bi sad išli s ovim mi ne bi s ovim ovi birači bi nas napustili birači u erha su rekli ne želimo hadeze to što se birači rasloje znači netko će dati glas nama netko će dati esdepeu netko će dati možemo netko će dati mostu itede dalje.
0:02:33,0:02:35,To nema nikakvog utjecaja.
0:02:36,0:02:37,Odgovornost je na nama.
0:02:38,0:02:46,Na ovim i na svakim izborima mi udruženi u Cordon Sanitaire možemo pomesti hadeze da ne postoji.
0:02:47,0:02:51,Niti jedan građanin više ne mora izaći na izbore nego što redovno izlazi.
0:02:52,0:03:06,"Ipak unatoč takvim logičkim zaključcima i zapravo jednostavnoj matematici izgleda da ponovo ti isti čelnici političkih stranaka imaju svoje teorije, ne žele opet s jednima, ne žele opet s drugima, rade neke mikro koalicije."
0:03:06,0:03:07,Koja je vaša poruka zapravo njima?
0:03:08,0:03:09,Pa da prestanu lagati birače.
0:03:10,0:03:13,Znači i birači znaju da je najlakše biti u oporbi.
0:03:14,0:03:29,"Ništa ljepše četiri, pet godina u oporbi nikakve nema odgovornosti, bilo u Saboru, u Europskom parlamentu, u nekom ministarstvu, bilo gdje u nekoj općini, gradu, biti oporbeni nema ništa ljepše."
0:03:30,0:03:50,"Postoji dojam da su najveći neprijatelji zapravo takve koalicije takozvani politički analitičari koji namjerno kao da potiču sukobe između političkih stranka i pozivaju nemoguće to ideološki pomiriti kako bi izgledala ta Vlada, kako bi oni donosili odluke, kako bi zapravo, koji je odgovor njima i zapravo biračima koji kažu na koji način bi takva Vlada funkcionirala?"
0:03:51,0:03:56,U erha postoje samo osobe koje su neki kvazi mediji nazvali političkim analitičarima.
0:03:56,0:04:01,Politički analitičari ne postoje u erha Šta bi značio politički analitičar?
0:04:01,0:04:12,On bi značio da sagleda sve činjenice i na temelju činjenica donosi logičke zaključke temeljem svog iskustva i realnih iskustava i to iznosi u medijima.
0:04:12,0:04:14,"Međutim, tako nešto uopće ne postoji."
0:04:14,0:04:28,"Znači tu se radi o bezeznim marionetama, klaunovima itede čiji je jedini cilj ostanak hadezea na vlasti uz one mantre ne, oni ne mogu skupa, hadeze je ipak bolji kakav god je bolji od oporbe."
0:04:29,0:04:34,"Dakle, Cordon sanitaire je već viđen u brojnim državama EU-a."
0:04:34,0:04:52,"On najčešće se koristi u Francuskoj, sad vidimo u Poljskoj maknuta je, maknuti je znači pravo i pravda, skupili su se svi od kraja ljevice do kraja desnice iako je pravo i pravda pobjedila, znači najviše je osvojila, oni odlaze s vlasti upravo zbog principa Cordon sanitera."
0:04:53,0:04:57,Što je razlika između Cordon sanitera i koalicije?
0:04:59,0:05:01,Cordon saniteru ne postoji ideologija.
0:05:03,0:05:06,Ideologija je uvijek temelj za koalicije.
0:05:07,0:05:11,Zato imamo koalicije koje idu lijeve i desne koalicije.
0:05:12,0:05:22,Kod Cordon Sanitera ne postoji ideologija nego svi zajedno bez obzira na ideologiju idu skupa da pobjede veće zlo.
0:05:23,0:06:33,Znači šezdeset pet posto birača u erha smatra da je hadeze najveće zlo i čini najveću štetu žele ga maknuti samo s obzirom da imamo ligu sa jako puno klubova ti glasovi se rasprše i šezdeset pet posto glasova birača i građana koji žele da hadeze nestane dovode do nula posto vlasti i do daljnjeg ostanka hadezea kod kordon sanitera je još ključno i to da kordon saniter nikada ne vodi niti jedan od čelnika stranaka jer već naravno svaki taj pokušaj bi stao i htio bi ovaj bi htio bi onaj bit ne uvijek je to neka osoba sa strane poznata osoba građanima koja vodi kordon saniter protiv tog najvećeg zla a najveće zlo u erha to zna svaka osoba i ona koja je iselila i ona koja je ostala da je to isključivo lopovska i kriminalna politika koju provodi hadeze Znači kada se ulazi u kordon saniter onda ideologija i to vrijeme dok se vodi na vlasti nema nikakvog utjecaja.
0:06:33,0:06:43,A i sam kordon saniter onemogućuje da bi došlo do izglasavanja bilo kojeg ideološkog zakona jer onda nema dovoljno ruku u zraku.
0:06:43,0:06:57,"Znači ne postoji nikakva opasnost, nikakva da bi tijekom kordon saniter Vlade moglo doći do bilo kakvih ideoloških iskoraka jer jednostavno niti desnica niti ljevica kao što niti u ovom slučaju nema dovoljno glasova."
0:06:58,0:07:09,"Bavi Bavimo se onim što je ideološki neutralno, a to je potpuno čišćenje pravosuđa i stvaranje brzog i učinkovitog pravosuđa."
0:07:09,0:07:21,"O tim elementima što je potrebno govorio sam već bezbroj puta, crtao kućice točno, znači mi možemo imati potpuno funkcionalno novo pravosuđe u roku od šest mjeseci."
0:07:21,0:07:36,"Samo moramo omogućiti da propisi, znači propisi da omogućavaju brzo suđenje, ovakvi propisi kakvi jesu, niti sucu koji želi riješiti u najbržem vremenu je to nemoguće učiniti ispod godinu dana."
0:07:37,0:07:42,Mi moramo dati propise koji će im omogućiti da to riješe svaki predmet u trideset dana.
0:07:42,0:07:47,"Znači to su vrlo jednostavne izmjene, te izmjene postoje u drugim državama koje imaju brzo i učinkovito pravosuđe."
0:07:48,0:07:49,To nije nikakvo izmišljanje tople vode.
0:07:50,0:08:00,Moramo omogućiti sustav u kojem će pošteni i sposobni poduzetnici doći u priliku da rade i zarađuju i da stvaraju radna mjesta.
0:08:00,0:08:11,"Mi sad imamo isključivo znači državne hadezeovske poduzetnike koji izvlače sve poticaje koje dobivamo iz EU, oni ih dijele svojim članovima i simpatizerima."
0:08:12,0:08:17,"Znači, pa EU je nažalost kada ima hadeze na vlasti onda je doslovce super hik."
0:08:17,0:08:27,"Znači oni dijele, kada bi hadeze uzeo pet šest milijardi eura i podijelio svojim članovima direktno iz državnog proračuna pa izbila bi odmah revolucija."
0:08:27,0:08:36,"A ovako pošaljemo šest milijardi u Bruxelles, iz Bruxellesa se vrati šest ili sedam milijardi koje oni bez problema dijele svojim putem poticaja."
0:08:36,0:08:37,Znači genijalno.
0:08:37,0:08:53,"Znači imamo ogromna sredstva, imamo mogućnost, Cordon Sanitaire može već na europskim izborima izbrisati hadeze Postoji dojam da određene stranke, bilo centra, desnice ili ljevice traže izlike da do toga ne dođe."
0:08:54,0:08:58,"Daću primjer, MOST stalno napada Domovinski pokret i evo ga Domovinski pokret poziva u koaliciju."
0:08:59,0:09:12,"Možemo s druge strane tvrditi da će ljevica samostalno osvojiti dovoljno mandata i da je to jedini način da se promijeni Vlada u erha Postoji aktivno oporavljanje Cordon Saniteru, a na kraju će završiti u koaliciji."
0:09:12,0:09:18,"Ja sam siguran da će Cordon Saniter biti na onim sljedećim izborima, dakle ne na ovim prvima."
0:09:19,0:09:27,Zato što će većina građana shvatiti da je to jedini način na koji se na izborima može pobijediti hadeze Drugog puta nema.
0:09:29,0:09:37,"Dva bloka i čak kada bi išla cijela ljevica i kada bi išla cijela desnica, niti jedni niti drugi matematički."
0:09:37,0:09:39,Dakle matematika je jednostavna operacija.
0:09:40,0:09:48,"Znači oni kojima je ono teško zbrojiti u glavi ili na papiru uzmu Digitron, znači zbroje postotke i dobijemo određene rezultate."
0:09:48,0:09:54,Dakle niti jedni niti drugi ne mogu osvojiti dovoljno glasova.
0:09:54,0:10:17,"E sada, ako ljevica kaže pa dobro mi ćemo nakon izbora koalirati, zašto onda uopće dajete priliku hadezeu da u tih mjesec dana kupi petdeset petnaest zastupnika zašto im se daje ta prilika ako ćete ići znači ili s ovima s desnice ili ćete ići s hadezeom pa zašto onda to ne idete odmah ili odmah odite s hadezeom ili odmah idemo napraviti kordon saniter."
0:10:18,0:10:20,Znači u čemu je razlika?
0:10:20,0:10:27,Kad ide kod kordon sanitera i ostvari se pobjeda na izborima onda više nije lako kupiti zastupnike.
0:10:28,0:10:49,"Oni su osvojili vlast, oni su svjesni da su sada vlast i onda se ne prodaje koža kao ako ste neki bezvezni oporbeni zastupnik pa ćete se prodati ili za radno mjesto nekog člana obitelji ili za prenamjenu građevinskog zemljišta ili bilo što što će vama se činiti zgodno da se isplati vaš obraz prodati."
0:10:49,0:10:55,Ali oni će imati petnaest i dvadeset dana i pokupovat će ih sigurno kao što su ih kupili svaki puta do sada.
0:10:55,0:11:25,"Kod Cordon Sanitera se osvaja sto mandata u saboru, sto mandata, šezdeset pet posto glasova je više od sto mandata i tu hadeze ne može ništa vi kažete da vjerujete da će na sljedećim izborima tek onima tamo biti Cordon saniter glavna ideja politička siguran sam ali to znači četiri godine izgubljene u međuvremenu tako je tako je ali nažalost građanima treba vremena."
0:11:25,0:11:29,Znači u Hrvatskoj politička pismenost ne postoji.
0:11:29,0:11:34,Znači politička pismenost u državama visoko razvijenih demokracija.
0:11:34,0:11:36,A što znači visoko razvijena demokracija?
