Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:14,"A što je sa onim drugim sukobom koji bukti na Bliskom istoku i odmah u produženju tog pitanja, treba li Hrvatska priznat Palestinu?"
0:00:16,0:00:42,"Dakle, naravno da svjedočimo jednome tragičnome spletu događanja koji je najnoviji val započeo onim Hamasovim napadom na Izrael uzimanjem talaca itede Mislim dakle da će u perspektivi da je moguće priznanje palestinske države, međutim da bi došlo do priznanja palestinske države mislim da je potrebno ispuniti tri uvjeta."
0:00:42,0:01:27,"es jedne strane, dakle mora država Izrael biti priznata jer nemojmo zaboraviti, dakle od četrdeset osam godine kada je država izrael formirana kao činjenica međunarodnoga prava da je izrael bio u nekoliko navrata žrtvom agresije organizirane i dakle da u arapskome svijetu nažalost postoji vrlo su marginalni faktori koji su spremni na priznanje izraela na postojanje dakle mora postojati država izrael mora biti definiran teritorij buduće palestinske države, moraju biti definirane njezine granice i mora uslijediti međusobno priznanje kako bismo mi mogli priznati palestinsku državu s čim bih ja naravno u takvim okolnostima simpatizirao."
0:01:28,0:01:49,"A potpuno je jasno da je pretpostavka svega toga uspostava mira, dakle, jer je logično dok se gine sa svih strana i dok Izrael naravno krši nažalost međunarodno pravo, je li to u razmjerima u kojima slušamo i gledamo u medijima ili je to nešto veće ili je to nešto manje, to je nešto što ja ne znam."
0:01:50,0:01:58,"Ali naravno da su ta kršenja međunarodnogodnog prava za osudu, ali nije za manju osudu poricanje prava izraelskom narodu na vlastitu državu."
0:01:59,0:02:06,"Kako vi gledate na budućnost tog sukoba i moguće uplitanje Amerike, odnosno daljnje uplitanje Irana?"
0:02:07,0:02:28,"Pa oni su na posredan način već su uključeni, ja osobno ne mislim da će doći do daljnje eskalacije, odnosno do širenja toga sukoba, niti će on postojati prema mome uvjerenju, ali ponavljam, ja nemam nekih obavještajnih spoznaja, dakle ne mislim da će on biti drastičniji i dramatičniji od onoga koji već sad postoji."
0:02:29,0:02:31,"Gledajte, gledao sam taj sukob i promatran."
0:02:32,0:02:40,Naravno da je Hamas teroristička organizacija i sve što radi je katastrofa i treba naći nekako rješenje.
0:02:40,0:02:44,"Međutim, ja mislim da bi najbolje bio mir i naš zajedničko rješenje."
0:02:44,0:02:51,"Ostalo će biti svjetlosti radola i on se može proširiti vrlo brzo, vrlo brzo."
0:02:51,0:03:05,"Što se tiče Palestine, sa ljudske strane kad gledamo, da je ono hrvatski vojnik napravio u Kninu, nas je tužilo, sudilo, progonilo da su bili prekomjerno bombardirani."
0:03:06,0:03:08,da ono mi radimo što Izrael radi.
0:03:09,0:03:17,"Premda imamo vama, ponavljam još jednom organizaciju koja je teroristička organizacija, s njima se triba obračunati, islamska teroristička organizacija."
0:03:18,0:03:21,Mislim da je ovdje mir najbitniji i onda se traži rješenje.
0:03:22,0:03:32,"I nadam se da će se naći način da se dolje mir, jer dolje je uvijek isto moguće i proširenje na beiha i znači onda samo blizini i Hrvatska će biti uključena."
0:03:34,0:03:57,"Islamski terorizam je vrlo opasan, to smo iskustili do sada, triba naći način borbe protiv njih svi zajedno, borbu protiv toga zla, to je zlo, ali moramo i biti svjesni da bez mira i zajedničkog interesa, naravno to je interesa jednog i drugog naroda, govorimo o narodu nego o terorističkim organizacijama."
0:03:58,0:04:07,Biste li vi postavili to pitanje da Hrvatska priznaje Palestinu dosta visoko u smislu prioriteta pri određivanju vanjske politike u Hrvatskoj?
0:04:09,0:04:31,"Ja kao hrvatski predsjednik zastupao bih mir ako bi trebao biti mirotvorac i ako bi trebao molit da se zaustavi mir i da se sankcioniraju i da se kazne te terorističke organizacije koje su napravili povod za ovu reakciju koja je takva kakva je, uglavnom zastupam interesa mira, interesa mira nikakvog rata i u slučaju Ukrajine i Rusije, a i u ovome slučaju."
0:04:32,0:04:34,Hrvatska mora biti snažan mirotvorac.
0:04:36,0:04:38,"Nismo mali, ali nismo nesnažni."
0:04:38,0:04:40,"Možemo biti mali, ali dosta snažni."
0:04:41,0:04:50,"Kada ste spomenuli Rusija i Ukrajina, naletilo mi je pitanje zapravo, jel mislite da je taj rat polako došao do svog konca ili ipak da tu se još nije sve reklo?"
0:04:51,0:04:53,"Nije još, nažalost nije još."
