Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:15,"Ono što večeras želim prvo objasniti, a to je što su uroci, kako uroci djeluju, da li oni uvijek djeluju, koliko nam zla nanose i kako ih se možemo osloboditi, to slušajte u nastavku emisije."
0:00:15,0:00:21,Prvo pitanje na koje vama želim večeras odgovoriti jeste što je to urok.
0:00:21,0:00:26,Pa urok je zlo koje izlaziva zloduh u suradnji sa čovjekom.
0:00:26,0:00:46,"Svi mi znamo da neki čovjek odluči napraviti neki urok, odluči se poslužiti njime kako bi nekoj drugoj osobi nanio zlo, ili zapravo čovjek prvo što pomisli da neki čovjek ili neki guru ili neki vraćar zapravo nanosi zlo."
0:00:47,0:00:47,Ne.
0:00:47,0:00:52,"Za svaki uroak koji bi se napravio, potrebne su tri osobe."
0:00:53,0:01:06,"Osoba koja naručuje neki uroak, osoba koja će ga izraditi neki vraćar ili vještica i tek onda Sotona koja će dati djelovanje tom uroku."
0:01:07,0:01:15,"Mnogi ljudi misle kako pojedini možda vraćari, vještice imaju moć i autoritet nad Sotonom."
0:01:16,0:01:19,Ovo večeras želim objasniti jer se tu mnogi varaju.
0:01:20,0:01:27,"Dakle, nijedan čovjek nema moć nad Sotonom niti ga stavlja sebi da bude poslušan."
0:01:28,0:01:37,"Zato nemojte se zavaravati i misliti kada neki vraća neki guru, izrađuje neke uroke kako zapravo on im daje snagu."
0:01:38,0:01:48,"To nije istina, nego je Sotona onaj koji daje snagu onome materijalnom predmetu koji je izrađen da bi nekome načinili zlo."
0:01:49,0:01:55,Zato se kaže da vraćanje ili crna magija jeste dakle okultna suradnja sa Sotonom.
0:01:56,0:02:04,Čovjek se dakle podlaže Sotoni kako bi učinio djelotvornim taj svoj urok.
0:02:05,0:02:20,"Mi znamo iz teologije, o tome je govorio Tomak, akvamski je učavao, govorio da ljudi nemaju moć nad zlodosima, da ih ne mogu podložiti svojoj volji, niti ih koristiti kako oni hoće."
0:02:21,0:02:38,"Dakle, iz ovoga opet vidimo kako zlo ne dolazi od magijskog obreda samo po sebi, niti od moći nekoga vraćara, nego od samoga zloduha koji se uključuje u zle namjere čovjeka i djeluje u suradnji s njim da bi nekome naudio."
0:02:41,0:02:50,Samim time vidimo kako zloduh iskorištava svaku osobu koja se uopće upušta u odnos sa njim.
0:02:51,0:03:01,"Ono što je dobro reći večeras, da bi neki predmet možda postao zločudan, nužno je potreban zahvat isotone."
0:03:02,0:03:04,"ili Lucifera, jer zašto?"
0:03:04,0:03:14,Zato što on uživa da mu se čovjek klanja jer on traži i učinit će sve da se to i dogodi kako bi zadivio neku osobu.
0:03:15,0:03:32,"Moramo znati da magijski obrasci, obredi crne mise imaju samo jednu svrhu, a to je oponašati, profinirati misu i sakramente Katoličke crkve i prisvojiti si klanjanje koje pripada samom Bogu."
0:03:33,0:03:35,To je krajnja oholo Sotone.
0:03:35,0:03:45,"Dakle, svi ljudi koji traže od njega, usluge, zapravo možda svjesni ili nesvjesni, čine to da se klanjaju Sotoni, a on zapravo u tome uživa."
0:03:47,0:03:54,"Zato se i kaže da je taj magijski, Sotonski kult zapravo jedna vrsta naopake religije."
0:03:55,0:04:11,"Budući da Krist ima svoju crkvu, ima svoje svećenike, ima svoje sakramente, i Sotona želi imati isto to i zbog toga i pokušava imitirati sve ono što je zapravo Isus i Katolička crkva."
0:04:12,0:04:19,"Evo, možda i tu odgovora kako i zašto nastaju ovi različiti uroci."
0:04:19,0:04:30,"Kao što sakrament krštenja ne bi postao bez vode, tako ni urok ne bi postao bez nekoga materijalnog predložka po kojem dolazi do neke ciljane osobe."
0:04:31,0:04:48,"Mi znamo da ne treba svemu dati samo onaj magijski karakter i reći da to možda i nije tako djelotvorno kada evo u ovoj priči, kada smo objasnili, vidimo zapravo kako ipak tu djelotvornu snagu sama se otvara."
0:04:48,0:04:59,što ona daje nekome uroku koji je izgrađen u suradnji sa naručiteljem i u suradnji sa izvršiteljem tog uroka.
0:05:00,0:05:09,"Ono što želim reći večeras, znam da mnogi ljudi su u strahu od ove teme, u strahu od uroka i da se o tome možda malo priča."
0:05:09,0:05:17,I sam sam kao dijete puno slušao o tome i ponekada to ispadne kao da su izmišljene priče da se nekoga straši.
0:05:17,0:05:39,"Međutim, evo prije par dana sam bio kod nas u Hrvatskom aeropagu gdje se uskoro za koji dan otvara muzej u kojem se nalaze upravo i različiti uroci koje su se neki vraćari odrekli ili neki ljudi kojima je bilo nametnuto, koji su ostavili kao izložbeni predmet da ljudi mogu vidjeti."
0:05:40,0:05:53,I sami se u to možete uvjeriti i posjetiti taj muzej i vidjeti čime se sve ljudi zapravo bave i da postoje zli ljudi koji se koriste urocima kako bi drugima nanijeli zlo.
0:05:54,0:06:04,"Znamo da postoji i različiti uroci, dakle ljudi izrađuju uroke kako bi postigli neku zaljubljenost ili kako bi nekoga rastavili."
0:06:04,0:06:09,Postoje i oni koji zatrovavaju druge da bi im naškodili njihovome zdravlju.
0:06:10,0:06:13,Zanimljivi su recimo uroci vezivanja.
0:06:13,0:06:26,"A njih, evo recimo u Evangeliju, nam govori Isus, to je uroak koji vezuje neku osobu da postane nesposobna djelovati ili kretati se po želji svojej ili Božjoj."
0:06:27,0:06:35,"Dakle, i to nam točno Isus u Evangeliju govori kada u subotu je oslobodio jednu ženu koju je Sotona nije dao da se uspravi."
0:06:35,0:06:55,"I onda nastavnik one sinagogoge prebacujemo da se ogriješio u subotu i subotijnem odmoru, a Isus mu odgovara ovako: Licemjeri, ne odriješili svaki od vas u subotu svoga, vole li magarca od jasala da ga vodi na vodu?"
0:06:55,0:07:08,"Nije li dakle i ovak čera Abrahamova koju Sotona sveza, evo 80 je već godina, 18 je već godina, trebalo je odriješiti od tih spona u dan subotij."
0:07:09,0:07:13,"Taj citat možete naći u Luki Nom Evanđelju, evo gdje Isus sam kaže da je."
0:07:13,0:07:15,Da je treba odriješiti.
0:07:15,0:07:21,"Tu su i drugi uroci koje neko izrađuje, prijenos, raspadanje itd."
0:07:21,0:07:44,"Imamo ih različiti, međutim, večeras ne želim staviti i govoriti i objašnjavati koji sve postoje, nego samo bih želio reći da osobe koje su često zabrinute da li su pogođene možda nekim urokom, da li im je neko nanio zlo, to najbolje mogu primijetiti, ja bih rekao, na neke tri dimenzije, tri točke svoga života."
0:07:45,0:07:49,Prije toga treba dobro reći i da se puno ljudi.
0:07:49,0:07:59,"možda koji imaju neke križeve, bolesti, nedaće, tjeskobe, pa čak možda i neke psihološke poteškoće, prvo pomisle da im je bačen neki urok."
0:08:00,0:08:12,"I u tome treba vrlo dobro biti mudar, moliti vodstvo Duha Svetoga u razlučivanju da li zaista u mome životu je neko bacio neki urok i da li on ima utjecaja."
0:08:13,0:08:21,Zato ponavljam da svaka situacija koja nam se u životu loša događa ne znači odmah automatski da nam je neko bacio urok.
0:08:22,0:08:25,Ono što sasvim sigurno iz ispraksa.
0:08:25,0:08:42,"Iz prakse egzorcista i u takvoj literaturi moći ćete uvijek naći da djelovanje, neko područje djelovanja zapravo uroka kada se nekoj osobi učini, ukoliko je djelotvorna, zahvaća uglavnom glavu, želudac i duhovni život."
0:08:44,0:09:00,"Svaki od njih bi mogao pona osobno objašnjavati, ali evo to su samo neke tri točke gdje neka osoba može osjećati posljedice, ali rekao uz ovaj oprez treba vidjeti uvijek o čemu se tu radi."
0:09:01,0:09:12,"Ono što je možda bolje je da naglasim već danas kad, u kojoj situaciji i da li baš uvijek neki urok može djelovati na nas?"
0:09:13,0:09:14,"Ne, ne može."
0:09:14,0:09:17,Ne može uvijek djelovati iz nekoliko razloga.
0:09:18,0:09:26,Prvi razlog zašto uvijek ne djeluje neki urok je zato što je zloduh otac laži.
0:09:27,0:09:34,"Ako zloduh nije htio da se podloži volji Božjoj, zašto bi se on podložio uvijek ljudskoj volji?"
0:09:35,0:09:45,Zašto bi neki zloduh djelovao svaki puta kada neki čovjek koji je zao želi nanijeti zlo i tako slušati njega ako nije slušao Boga.
