Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,"Naime, ako mi kršćani, a pa i cijeli svijet, iako nisu kršćani ima mnogo vjera, koja je nulita točka?"
0:00:09,0:00:10,Rođenje Kristofa.
0:00:11,0:00:14,"Jer je to alfa i ovoga, početak i kraj."
0:00:14,0:00:20,"Dakle, ima od Krista, pa on nas računa godine poslije Krista i godine prije Krista."
0:00:21,0:00:25,A onda idemo primijeniti ovu feniksovih 500 godina.
0:00:25,0:00:37,"Ako je počelo od Krista, što je u prvih 500 godina se dogodilo tako veliko na geopolitičkoj, strateškoj razini da je ono toliko bitno tih 500 godina?"
0:00:38,0:00:52,"Pa vrlo jednostavno., dogodio se nakon Krista, 500 godina, odnosno, ne mora se to baš tošlo, 500, recimo 460, 50, 80, 50, 20, dakle, u tom periodu dogodio se pad Rimskog carstva."
0:00:53,0:01:08,"I nakon toga se stvara kršćanska Evropa, kršćanska civilizacija sa svetim Benediktom, a svet i Benedikt, koliko znamo, je zaštitnik te kršćanske Evrope, samo to jedna kršćanska Evropa je zaboravila."
0:01:09,0:01:17,"Dakle, to je te prvih 500 godina na poslije Krista, Feniksovih, nazovimo ih tako."
0:01:18,0:01:21,"Onda idući je deseto stoljeće, petsto godina."
0:01:22,0:01:55,"Što je u desetom stoljeću veliki tekonski geopolitički poremećaj koji se ne govori baš puno, ali on jeste, a to je kada su Vladimir Veliki, a prije njega njegov otac Svjetoslav I., pobijedili i rastočili Hazari, državu koju su osnovali Hazari, zato se ona zove Hazarija, na čelu je bio Kagan, vladar, koji su turkijskog podrijetla, ali oni su."
0:01:56,0:02:09,"od osmog stoljeća primili judeizam, prišli na judejsku vjeru, ali ne u potpunu judejsku vjeru jer ima Talmud i Tora i tako dalje."
0:02:10,0:02:21,"Talmud je tumačenje vjere, recimo tumačenje vjere i kod islama, kod njih nema svećenstva kao što ima u kršćanstvu, nego imaju tumač vjere."
0:02:22,0:02:35,"I oni su stvorili jaku državu, nisu mogli ići na jug jer je bio islam, pa su krenuli na sjever, Kijevsku Rusiju i tu su ih Rusi, Vladimir Veliki, zato nije Vladimir Veliki."
0:02:36,0:02:52,"Oni su se raselili i onda su zauzeli prvo istočnu Evropu, sada da nabrajam, od Njemačke, Poljske, Bjelorusije, sjeverne Mađarske, poslije će otići u Evropu i to su ti židovi o kojima mi danas govorimo."
0:02:53,0:02:59,"Njihovi će biti, osnova će se država kasnije, 1948."
0:02:59,0:03:00,država Izraela.
0:03:00,0:03:02,"Dakle, to je tih 500 godina."
0:03:03,0:03:07,Idućih 500 godina je 15.
0:03:07,0:03:11,"stoljeće, a tada što je bilo otkrivljenje?"
0:03:12,0:03:30,"Otkriće novoga svijeta, znači otkriće Amerike, iako je ona otkrivena prije, ali u ovom smislu da se otvorilo, se Evropa odlazi preko Atlantika i od tada nastaje, znači ti 500 godina završava sad."
0:03:31,0:03:41,"Što je glavno obilježje tih 500 godina od otkrića Amerike do dana današnjega, dakle do ove emisije gdje sjedimo i razgovaramo, su dva elementa."
0:03:41,0:03:45,To je robovlasnički sustav i to je kolonijalni sustav.
0:03:46,0:03:49,Sve te zemlje su bile kolonije.
0:03:49,0:03:57,"I Engleska je kolonija, Francuska je kolonija, Belgija je kolonija, Nizozemska je kolonija, i Španjolska je kolonija, ali i Portugal je kolonija, sad ne nabrajam."
0:03:57,0:04:04,"I Amerika će, iako nije nastala, blizu Sjedinjenim Američkim državama, isto biti kolonija, ali ona će imati i robovlasnički sustav."
0:04:04,0:04:29,"I sad je došlo do tih, da je taj, u tim vremenima, tih petsto godina, akumuliralo se ono što prorok Jeremija govori u Starom zavjetu, objektivizirano zlo, akumulacija zla, jer ona se temelji na dva sustava, a to je sustav robovlasništva i slučaj kolonizma."
0:04:29,0:04:34,"Jedno i drugo je ne samo što je eksploatacija, nego je pljačka, poglavito kolonizam."
0:04:34,0:04:43,"I ta je Evropa, ta koja je takva, radilo se i unutar nje nastaje zlo koje se moralo objektivizirati."
0:04:43,0:04:50,Svako zlo se na neki način objektivizira da bi se ispravilo u nekom katastrofičnom događaju.
0:04:50,0:04:52,I to je ta 25.
0:04:52,0:05:02,"godina gdje je došao ti kraj tog perioda i nastaće nešto novo, a to nešto novo, to je više pilarnost svijeta."
0:05:03,0:05:04,"Dakle, u ovom godini 25."
0:05:05,0:05:05,mi se.
0:05:05,0:05:07,Mi svjedočimo više polarnosti svijeta.
0:05:08,0:05:16,"Ako ćemo još ići prije Krista, onda je ta, nazovimo je tako, godina 480."
0:05:17,0:05:34,"prije Krista, to je opogoda na maratonskom polju, odnosno pomorska bitka poput Salamini, gdje je Grčka pobijedila Persiju i na takav način digla cijelokupnu helensku kulturu i civilizaciju."
