Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:11,"Poštovani gledatelji, pratite intervju tjedna na cryptovers.haier."
0:00:11,0:00:14,"Današnji gost je Teddy Tičić, kriptostručnjak i konzultant."
0:00:15,0:00:17,"Teddy, dobrodošao u studio Cryptoversa."
0:00:17,0:00:17,Pozdrav.
0:00:19,0:00:20,"Dakle, tu smo gdje smo."
0:00:21,0:00:26,"Imali smo pad od 30% od all-time haja prema 80.000 dolara, a sada vidimo ipak neki oporavak."
0:00:27,0:00:36,"Pa je li ovo samo zaokret ili samo skok unutar silazičeg trenda, takozvani Dead Cat Bounce?"
0:00:36,0:00:41,Pa ovo ja mislim da je jedna velika manipulacija iskreno velikih igrača pogotovo.
0:00:41,0:00:42,Mnogi će to reći.
0:00:42,0:00:55,"Ja znam da je, to je jednostavno i osjećam u sebi da to je, ali nije nešto novo, to je tako ide, to ide, naraste, padne, naraste, padne, ali kod investiranja pogotovo u bitcoin gleda se dugoročno."
0:00:55,0:01:01,Kad gledaš četiri godine svake vidiš rast tako da jedino kopaničari su novi investitori.
0:01:01,0:01:13,Ja znam da ako si ti kupio na sto deset tisuća i sad ga gledaš na osamdeset sedam nije ugodno ali nema tu problema to se holda bitcoin se ne prodaje pogotovo ako padne ili si profit ili nula.
0:01:13,0:01:51,"Ali ja sam za to da se bitcoin uopće ne prodaje i zato meni i da on sutra ode i na trideset sedam tisuća ne znači ništa jer ga neće prodat i to je to kaže se da bitcoin će bit kad bitcoin bude spreman nećeš ga morat prodati jer će bit hajmo reći među glavnim sredstvima plaćanja ko zlato da zapravo bit će storu velju više nego plaćanje ali bit će naravno možeš plaćat ali kažem ja ne paničarim nema razloga za plaćanje tko manipulira pa manipuliraju velike banke sad neki kažu da je jpmorgan neki kažu da je blackrock ili takve stvari, ali sad ne znam tko manipulira, to je uvijek teško reći točno tko, ali prvo očito da netko manipulira."
0:01:52,0:02:02,"Sad su kriptovalute vrlo popularan način za brzo da padne i onda brzo na rast pa uzet profit, to ima čak dokaza da se to sve seže i do američke vlade i visoki igrači tako da."
0:02:03,0:02:04,Ovo su već teorije zavjere.
0:02:04,0:02:16,"Da, to je padak od teorije zavjere, to je prije bilo puno veća teorija zavjere nego danas ljudi vjeruju to i imati kako je sve na blockchainu, sve se vidi, sve se zna, izgleda da je tako."
0:02:16,0:03:17,"Ali kažem i da nije tako, sasvim normalan pad, pa šta bi da prije tri godine da ti je netko rekao da će biti tko bit osamdeset sedam tisuća bi skakali svi ne bi vjerovali šta sad malo padne dvadeset trideset posto e sad da ali ta korekcija od trideset pet posto s obzirom na njezinu veličinu kažeš sam mnogi nisu navikli na takva povlačenja ali moramo uzeti u obzir i period četirigodišnjih ciklusa stoga je jedan dio analitičara i investitora uvjeren da smo u beru dakle u meduđem tržištu da je bulu došao kraj je li tome tako koji je tvoj stav ne ne bih rekao da je bulu da je bulu došao kraj od nikakav bear market pogotovo od oktobera što se kaže uvijek se zove uptober i uvijek je do recimo kad je uvijek se zapravo gledao kad je Black Friday da naraste ko što vidimo onako opet se sad malo popravilo ali ne bi rekao da je bear market nema što nema uopće, kad ti vidiš pola da padne kada ljudi po Redditu pišu da je gotovo, to ti je bear market."
0:03:17,0:03:23,Zapravo najbolje je vrlo zapravo ne tražite biti financijski stručnjak da znači kad kupit ketolite.
0:03:23,0:03:26,Kad vidiš da novine pišu da je bear market e tad kupuješ.
0:03:26,0:03:32,"A kad vidiš da se svi žele kupit kada te susjed nazove da kakvom ove da kako bi šta je bitcoin, kako se to kupuje onda prodaje."
0:03:32,0:03:36,"I to je najstarije pravilo, to sam rekao jednom u prošlom podcastu i tako je."
0:03:37,0:03:41,Ono kad se svi boje tada kupuješ i tako to ide.
0:03:41,0:03:43,Znači definitivno idemo dalje gore.
0:03:43,0:04:08,"Idemo, idemo, ne, pa ja do kraja godine sumnjam da ćemo sad vidjeti neki all time high, ali me ne bi čudilo vidjeti ponovo nekih sto dvadeset tisuća i da vidimo sto dvadeset tisuća to je sasvim ok e sad postoje oni povijesni obrasci mnogi se vole vezati uz te povijesne obrasce bitcoin je u mjesečnom minusu trenutno je u mjesečnom minusu od dvadesettak posto, govorimo o jedanaest mjesecu."
0:04:08,0:04:17,"E sad, svaki puta kada bi zatvorio jedanaest mjesec u crvenom dakle u padu, ta korekcija bi se nastavila i u dvanaest mjesecu."
0:04:18,0:04:21,Pa vjeruješ li ti u te povijesne obrasce i što kažeš na takve?
0:04:22,0:04:27,"Pa, uvijek je u trgovanju da se povijest ne, ja vjerujem da se povijest ne ponavlja, ne volim gledati povijest."
0:04:27,0:04:28,Pa dobro kažu da se rimuje.
0:04:29,0:04:41,"Da, ali, ali, da, ali ja ne volim gledati taj podatak, nikad nisam volio gledati povijesno šta je iako u većini slučajeva pogotovo za bitcoin se fakat je da se ponavlja i u biti svaki čovjek i vidite svake četiri godine."
0:04:41,0:04:42,"To se ponavlja, sad se ne ponavlja."
0:04:43,0:04:53,"Ali, ne, ne, ne, ja govorim šta ispada, ispada kada se ponavlja, ali ja govorim da ja ne vjerujem jednostavno to, ja vjerujem u čvrste tehničke analize, ali najviše vjerujem u vijesti."
0:04:53,0:05:22,"Znači ako želiš pratiti cijenu bitcoina šta će bit, ajmo prvo krenuti od toga, nitko ne zna šta će bit, nitko s tim možeš napraviti tehničke analize i bit do nekle, imati pet posto šanse vidjeti ali poprilično dobru ideju može dobiti od dvjesto kad vidiš da se nagovještaj neki rat krize pa fed diže ovaj rejtsi i takve stvari te neke stvari ako pratiš možeš vrlo lako pratiti a sad da ćemo se mi svi držati povijesti, pa e to je bilo tako, pa sad će to sigurno jer je puno četvrta godina, meni je to glupo."
0:05:23,0:05:25,Jesu li četverogodišnji ciklusi gotovi?
0:05:27,0:05:41,"To je dobro, jedino taj, ja uvijek kažem da svake četiri godine vidiš rast, ja opet se ne bih čvrsto držao njega, ali tako ispada stvarno kada pogledam svake četiri godine više rast i ja vjerujem da se to neće ni mijenjati."
0:05:41,0:05:42,Znači tako je ostalo.
0:05:42,0:05:59,"Znači ti povijesni obrasci bi trebali ostati, četverogodišnji ciklus, a unatoč ulasku potpuno drugačije sorte investitora, dakle govorimo o institucijama, govorimo o kompanijama, govorim o igračima s Wall Streeta."
0:05:59,0:06:25,"Ljudi se bude, nije stvar kad dođe Wall Street ekipa, kad dođe neka velika banka ili država, to je super kratkoročno za cijenu i velika je vijest, ali zapravo najveća stavka bitcoina je kad ljudi skuže koliko je lagano, kad ljudi skuže da sve što tebi treba je internet, mobitel i šalješ pare, nikakve regulative, nikakve dokaze od kutije lova, nikakvo čekanje sto godina, nikakvom vikendom se ne knjizi te gluposti."
0:06:26,0:06:54,"Kada skuži da sve što ti treba, mobiteli, wifi, kada ljudi počnu koristiti, onda shvativo je ovo ne samo bitko recimo i ripal jako dobar, kada vide cijeli ekosistemi Tiriuma, dobro, većina ljudi to izbog solana i mimkoina, ali kad vidiš ta ekosistema koliko to lijepo radi, pogotovo sad kako je AI jako, jako brzo raste, baš bolesno brzo, mislim da će se to odlično uklopiti u kruto lute i mislim da nas pogotovo u iduće dvije godine bi Saučus usudio reći čeka šovu."
0:06:54,0:06:56,"Pa je sad još Trump na vlasti, svi smo sad čekali."
0:06:57,0:07:04,"Ali ipak nekakav je, stići će se nekakav dojam da maloprodaje nema toliko koliko je bilo u prošlim ciklusima."
0:07:05,0:07:07,"Da maloprodaje, da retail kupci."
0:07:07,0:07:13,"Da, retail, da, je, je, ali ovako, nekako ljudi."
0:07:14,0:07:14,Znate koja je priča?
0:07:15,0:07:23,"Kao da je ona postojeća baza koja je bila, znači onih retail kupaca, da je ona još uvijek tu, ali da nema novih, ne ulazi novi retail u sustav."
0:07:23,0:07:24,Na što ti?
0:07:25,0:07:38,"Ljudi žele brzi profit u kretelotama jer zvuči onako kao da je sutra Lambo i te priče, to jednostavno nije tako i mislim da tu fali jedna velika edukacija ljudi što ljudi šta su kriptovalute, kako funkcioniraju i koja je zapravo svrha njih."
0:07:38,0:07:49,"Kad bi ljudi to naučili bilo bi puno bolje jer evo ja gledam ljudi koji su meni, ali uvijek je isto pitanje koliko brzo se može profitirati, da li ja mogu zaraditi toliko i toliko, to je totalno krivi manjci."
0:07:50,0:07:51,"Pa ti ljudi smo, moraš to razumjeti."
0:07:51,0:08:11,"Ali znam, ja razumijem da ova ljudska pohlepa nema kraja, ali ja kažem da fali i ja veliki dio edukacije, to po meni ova tema kriptovalute bi trebala biti u školama, da već u sedam i osam razreda ti vidiš i učiš o tome jer sto posto ćeš imati financijsku pismenost u školama ili ćeš imati kriptovalute a razumjeli bi oni to?"
0:08:11,0:08:20,"Ovako, postoji jedna teza da je ovaj pad uzrokovan, pa svojvrsnim IPO momentom bitcoina."
0:08:20,0:08:34,"Dakle, da oni veliki, oni rani investitori koji su ulagali u bitcoin sada konačno mogu unovčiti svoje dobitke, a da ne djeluju rušilački na sustav, dakle na cijenu bitcoina s obzirom da je sada likvidnost puno veća nego što je bila prije."
0:08:34,0:08:36,Kako ti gledaš na tu teoriju?
0:08:36,0:08:48,"Pa iskreno moguće jer oni i te, znači te velike institucije kad dođu u bitcoin, kad oni kažu ne govorimo o o velikim institucijama, govorimo o realnim investitorima, o radnicima."
0:08:48,0:08:51,"Ista stvar, ista stvar ili kad vi išite s toš i volete i te stvari."
0:08:52,0:08:57,"Na kraju krajeva svima, ja razumijem da je svima bitno izvući profit, to kužim."
0:08:58,0:09:01,"Ali opet ja ponavljam, to su tako po meni nebitne stavke."
0:09:02,0:09:04,Sad da li netko tko je imao bitcoin sedamnaest g.
0:09:04,0:09:11,"sad ga prodaje ili neka velika država prodaje, nebitno jer bitcoin je napravljen u srži da on raste."
0:09:11,0:09:16,"Sad to je nekakvo to, kada je radio bitcoin je stavio u kod da se svake četiri g."
0:09:17,0:09:19,sve teže i teže on rudari.
0:09:19,0:09:20,Zašto je to napravio?
0:09:20,0:09:27,"Zato što je za zato što je nekakav moto znao da će tehnologija jako brzo rasti, da će kompjuteri postati jaki i moglo bi doći do toga da jedan komputer izmajna sve."
0:09:27,0:09:32,"On je znao, on bitcoin u srži je napravljen za dugoročno."
0:09:32,0:09:35,"Mi smo još u jako ranim danima, jako ranim danima."
0:09:35,0:09:42,"Znači zato što je to još, ljudi znaju šta je bitcoin ali ono kažem da to je nešto."
0:09:42,0:09:43,Ja mislim da je opcija još nije došla.
0:09:43,0:10:01,"Ja ne znam a kakvima, mi nismo mi još, ja kažem koliko, ja mislim ako se ne varam tri posto znači tri četiri posto svijeta ima ikakve kriptovalute tri četiri posto di je ostalo tako da još je ovo vrlo, vrlo rano, eto ja, samo long term i to je to, nema previše."
0:10:03,0:10:09,"Što je, što je, finalni cilj, kažeš long term, nikada nećeš pretvoriti svoj bitcoin u fiat?"
0:10:09,0:11:05,"Ja ne, ja ne, ja čak i kad sam to radio, to su bile za neke brze investicije i onda bi s tom investicijom odmah kupio bitcoin, zapravo sam uvijek bio na istom, ali ga naravno ja još uvijek kupujem, ali da bi ja prodao bitcoin za cash, ne daj Bože, jer nemaš gore investicije, ok ti, ako si ti sad u lagao, imaš obitelj i želiš im ga nema ništa?"
0:11:07,0:11:07,Kako nema?
0:11:08,0:11:08,Ima.
0:11:08,0:11:09,Kako nema?
0:11:10,0:11:12,"Šta tko, kada i zašto kupuje za bitcoin?"
0:11:12,0:11:13,Znači bitcoin služi kao storofel.
0:11:13,0:11:15,"Ja ga, ja mogu, ja jedino."
0:11:15,0:11:19,"Naravno da možeš, naravno da možeš postojati, ti možeš u konzumu kupiti sa bitcoinom."
0:11:19,0:11:20,"Ne, ne, ne, ne."
0:11:20,0:11:21,No hoću ti reći da nitko to ne radi.
0:11:21,0:11:32,"Da se bitcoin pretvori u storofel zapravo nekakvu svojevrsnu digitalnu verziju zlata ili barem ljudi žele da vam to bude, no kao platni sustav on nikada nije zaživio."
0:11:33,0:11:50,"To ću se složiti s to, da, to je istina jer je on u srži spora i zna biti veliki fi i zna biti uglavnom sporije za plaćanje poput baš plaćanja, ja sa tebi šaljem puno bolje su Ripple, Solana itede A stablecoin su najbolji?"
0:11:50,0:12:03,"Gledaj, stablecoin, ja bi sad, ne bi pet sati bilo dosta, stablecoin je vrlo škrkljiva tema jer je pogotovo poput Tetera, to je sve vrlo sumnjivo, te rezerve su meni sumnjive od prvog dana."
0:12:03,0:12:11,"Dobro, ja ne govorim o suspeknosti rezervi i kolaterala koje oni imaju za izdani USDT, govorim o brzini i jednostavnosti kako rade."
0:12:12,0:12:18,"Da, ako je samo do brzine onda USDT na iteracetvw i tercet dvadeset networku ćete biti puno bolje nego bitcoin na svakom slučaju."
0:12:19,0:12:24,"institucije se, rekli smo ranije institucije su ušle u kripto."
0:12:24,0:12:45,"Postoji i ta neka teorija da da, pa me zanima tvoje mišljenje da je problem da je i dobar dio pada odnosno da je pad pouspješan time što ti novi igrači nisu, novi igrači sa wall streeta nisu navikli na ovakvu razinu volatilnosti koju donosi bitcoin i onda da jednostavno su počeli i oni panično prodavati."
0:12:45,0:12:46,"Da, da, kako ne?"
0:12:47,0:13:06,"Pogotovo ljudi koji su, isto ja to gledam kod normalnih ljudi koji su u Forexu, oni nisu navikli na ovakve volatilnosti, oni nisu navikli na pet puta leverage i to je previše, oni koriste petsto puta leverage, oni nisu navikli na to i netko tko drži dionice Tesle naravno da nije navikli na ovakvu volatilnost."
0:13:06,0:13:12,"Ali ja uvijek kažem, bitcoin, ne bitcoin, kriptovaluta općenito, pogotovo trgovanje kriptovalute je jedna velika kocka, ogromna kocka."
0:13:12,0:13:40,"Ti ima, naravno ima tu neke tehnike i tehničke analize i pomagala, naravno ima i ima stvari koje ti možeš naučiti ima, ali na kraju krajeva to je velika kocka, velika i ja radim puno s ljudima i ja sam imao par slučajeva gdje ljudi jednostavno koji su imali problema sa drugačijom kockom su se vrlo, vrlo brzo skuđili da je ovo isto vrlo slično, ali nema vočkica i nema bonusa i nema to, ali vrlo slično pogotovo kad ti kreneš sa leverageom."
